PERIODO,ANO,PIB,DA,C,G,I,INV,XM,X,M,E
2010/01,2010,"14,371,712","18,614,192","9,622,216","1,799,999","3,057,153","228,940","-244,506","3,997,974","4,242,480","-92,091"
2010/02,2010,"14,998,393","19,639,422","9,983,677","1,883,425","3,120,015","198,100","-265,381","4,375,648","4,641,028","78,556"
2010/03,2010,"14,921,450","19,717,872","10,086,368","1,833,562","3,122,127","84,349","-355,623","4,440,799","4,796,422","150,667"
2010/04,2010,"15,499,623","20,407,448","10,514,523","1,895,946","3,352,430","178,137","-198,347","4,709,478","4,907,825","-243,065"
2011/01,2011,"14,902,786","19,503,099","9,928,610","1,855,306","3,147,466","227,536","-58,428","4,541,885","4,600,313","-197,704"
2011/02,2011,"15,413,082","20,291,125","10,281,264","1,908,636","3,325,754","166,566","-147,095","4,730,948","4,878,043","-122,043"
2011/03,2011,"15,526,005","20,602,513","10,524,310","1,893,488","3,450,025","54,409","-364,856","4,711,651","5,076,507","-31,371"
2011/04,2011,"16,139,460","21,216,618","10,823,685","1,980,512","3,721,350","109,663","-186,042","4,891,116","5,077,158","-309,709"
2012/01,2012,"15,619,687","20,517,569","10,407,114","1,950,910","3,441,816","233,115","-79,496","4,818,385","4,897,881","-333,772"
2012/02,2012,"16,027,317","21,183,345","10,474,875","1,998,170","3,520,181","216,487","-28,494","5,127,534","5,156,028","-153,902"
2012/03,2012,"15,952,746","21,165,257","10,644,822","1,935,795","3,624,173","46,571","-248,424","4,964,087","5,212,511","-50,190"
2012/04,2012,"16,639,145","22,068,126","11,003,205","2,009,949","3,730,753","148,142","-231,842","5,197,140","5,428,981","-21,062"
2013/01,2013,"15,720,278","20,628,288","10,462,851","1,936,144","3,356,457","144,782","-170,509","4,737,500","4,908,009","-9,446"
2013/02,2013,"16,362,711","21,767,510","10,745,148","1,976,183","3,450,699","310,181","-241,875","5,162,924","5,404,799","122,374"
2013/03,2013,"16,186,046","21,594,282","10,842,706","1,965,432","3,414,600","196,518","-271,217","5,137,019","5,408,236","38,008"
2013/04,2013,"16,839,713","22,252,463","11,226,299","2,059,901","3,615,459","156,465","-67,475","5,345,276","5,412,751","-150,936"
2014/01,2014,"16,135,556","21,251,310","10,636,123","2,001,205","3,344,841","184,500","-172,756","4,942,998","5,115,754","141,642"
2014/02,2014,"16,736,971","22,324,373","10,962,786","2,019,693","3,477,443","134,343","-135,213","5,452,189","5,587,403","277,919"
2014/03,2014,"16,645,076","22,391,038","11,090,727","2,027,191","3,567,830","106,028","-238,709","5,507,253","5,745,962","92,009"
2014/04,2014,"17,417,017","23,352,512","11,496,190","2,096,993","3,871,402","214,340","-32,004","5,903,491","5,935,495","-229,905"
2015/01,2015,"16,697,180","22,176,828","10,921,789","2,074,841","3,508,290","293,053","23,278","5,502,926","5,479,648","-124,071"
2015/02,2015,"17,239,434","23,168,264","11,121,056","2,077,971","3,680,763","159,601","53,226","5,982,056","5,928,830","146,817"
2015/03,2015,"17,309,618","23,481,062","11,418,154","2,030,760","3,862,833","23,597","-179,026","5,992,418","6,171,444","153,301"
2015/04,2015,"17,889,191","24,018,892","11,924,649","2,116,416","3,923,885","91,986","33,666","6,163,367","6,129,701","-201,411"
2016/01,2016,"17,197,681","22,852,632","11,329,619","2,082,846","3,631,610","287,193","48,243","5,703,194","5,654,951","-181,831"
2016/02,2016,"17,809,346","23,905,690","11,554,881","2,143,696","3,761,446","191,620","17,723","6,114,066","6,096,343","139,979"
2016/03,2016,"17,666,883","23,975,065","11,853,430","2,108,424","3,785,718","54,869","-91,859","6,216,323","6,308,182","-43,698"
2016/04,2016,"18,473,732","24,799,333","12,348,331","2,180,669","3,953,345","88,651","128,932","6,454,533","6,325,602","-226,196"
2017/01,2017,"17,791,095","23,893,751","11,734,761","2,136,567","3,649,890","284,645","141,863","6,244,519","6,102,656","-156,630"
2017/02,2017,"18,149,132","24,560,751","11,968,388","2,154,880","3,645,801","171,208","-21,790","6,389,828","6,411,619","230,645"
2017/03,2017,"17,943,736","24,588,868","12,244,444","2,093,410","3,750,161","59,542","-459,163","6,185,969","6,645,132","255,342"
2017/04,2017,"18,770,647","25,549,561","12,645,980","2,187,423","3,847,375","90,738","-92,397","6,686,518","6,778,914","91,526"
2018/01,2018,"18,072,389","24,508,467","12,011,828","2,203,386","3,717,701","227,676","-72,073","6,364,004","6,436,078","-16,128"
2018/02,2018,"18,701,100","25,556,232","12,343,826","2,272,110","3,841,669","111,701","106,898","6,962,030","6,855,132","24,897"
2018/03,2018,"18,395,545","25,436,220","12,542,439","2,149,966","3,762,839","66,978","-315,064","6,725,611","7,040,675","188,387"
2018/04,2018,"19,037,446","26,168,678","12,816,062","2,204,819","3,706,340","106,591","-160,889","6,970,343","7,131,232","364,523"
2019/01,2019,"18,282,106","24,833,300","12,121,935","2,186,296","3,711,499","158,915","-11,913","6,539,281","6,551,194","115,374"
2019/02,2019,"18,523,717","25,291,788","12,313,708","2,205,755","3,546,081","93,370","336,075","7,104,146","6,768,071","28,729"
2019/03,2019,"18,348,815","25,385,713","12,639,218","2,107,906","3,516,905","56,140","-126,089","6,910,809","7,036,898","154,735"
2019/04,2019,"18,943,796","25,751,833","12,936,646","2,200,040","3,514,365","82,686","-31,833","6,776,204","6,808,037","241,893"
