"ESTADO","m15p","m15s","m16p","m16s","m17p","m17s","m18p","m18s","m19p","m19s","m20p","m20s","m21p","m21s","m22p","m22s","m23p","m23s","m24p","m24s","m25p","m25s","m26p","m26s","m27p","m27s","m28p","m28s","m29p","m29s","m30p","m30s","m31p","m31s","a1p","a1s","a2p","a2s","a3p","a3s","a4p","a4s","a5p","a5s","a6p","a6s","a7p","a7s","a8p","a8s"
"AGS",1,2,1,3,1,8,1,10,4,9,4,17,4,24,4,34,6,13,6,37,12,52,13,59,19,65,19,106,24,85,24,74,36,81,36,57,47,53,48,53,49,75,49,122,49,164,53,183,53,111
"BC",0,10,0,15,0,16,2,25,2,35,4,45,8,36,11,36,13,47,13,95,14,116,19,136,20,148,20,140,23,152,27,135,35,174,37,185,40,213,52,213,54,242,69,201,111,245,136,345,225,422
"BCS",0,4,0,1,0,2,0,0,0,6,0,3,1,8,1,13,2,5,2,20,5,15,7,20,9,19,9,31,11,30,13,24,17,35,18,45,19,62,21,62,27,81,28,92,54,141,56,149,68,270
"CAMP",0,0,0,1,0,0,0,1,0,2,0,2,0,3,1,3,2,4,2,1,2,2,2,3,2,6,3,8,3,8,3,11,5,2,5,9,5,13,6,13,8,9,8,10,9,15,14,12,14,17
"CHIS",1,4,1,0,1,2,1,0,2,0,2,1,2,2,2,6,2,1,2,6,4,10,4,16,7,18,6,36,10,31,11,24,13,31,14,36,15,45,18,45,19,67,25,52,26,65,28,80,32,77
"CHIH",0,1,0,2,1,2,1,1,1,3,2,6,2,6,5,4,5,7,6,6,6,8,6,5,6,14,6,16,6,16,6,21,7,16,11,22,11,24,12,24,13,42,15,29,22,52,22,68,29,76
"CDMX",18,42,21,42,21,58,24,80,31,82,31,121,45,93,56,140,60,186,66,231,82,238,83,401,107,505,177,398,196,332,205,434,234,517,296,591,327,757,384,757,469,938,560,697,609,1100,723,1350,855,1782
"COAH",1,5,1,1,1,5,1,10,1,13,1,17,3,23,10,21,12,14,12,35,12,34,13,54,14,62,15,86,32,61,39,116,44,140,57,162,62,179,70,179,72,303,82,222,102,391,109,550,122,753
"COL",0,1,0,3,0,2,1,2,1,3,1,6,2,3,2,4,2,5,2,9,2,9,2,11,2,14,2,13,2,11,2,11,2,8,3,9,3,12,4,12,4,20,4,19,4,22,5,19,7,30
"DGO",1,7,3,0,3,0,3,3,3,4,4,8,5,1,5,1,5,5,5,6,5,15,5,24,7,17,7,35,7,32,7,23,7,18,7,24,8,28,8,28,10,51,12,48,12,78,15,84,15,113
"GTO",0,13,0,10,1,12,4,6,4,15,4,31,4,34,4,88,7,75,12,84,19,93,23,107,31,126,37,132,37,127,43,79,46,130,49,173,50,200,52,200,53,214,53,162,58,164,61,242,67,286
"GRO",0,6,2,0,2,6,2,14,4,10,4,10,4,12,4,12,5,9,6,13,7,13,7,19,7,46,10,52,13,40,13,47,15,80,17,84,22,102,24,102,25,118,30,112,32,128,37,145,47,149
"HGO",0,0,0,1,0,1,0,5,2,7,2,8,3,31,5,13,7,11,7,17,7,22,12,24,12,40,12,43,17,46,17,52,19,66,21,60,26,65,30,65,32,82,34,73,35,79,41,87,46,91
"JAL",2,9,2,18,5,3,6,15,22,13,28,55,32,96,41,120,46,142,46,195,46,232,64,220,77,212,82,209,83,227,90,275,94,377,99,496,104,638,116,638,120,769,123,774,126,703,135,752,139,862
"MEX",4,13,9,15,10,22,10,41,10,63,14,83,14,117,22,71,22,83,22,154,26,228,46,289,70,266,85,298,119,311,136,318,149,371,157,340,171,406,177,406,180,488,204,434,261,572,320,609,354,793
"MICH",0,0,0,0,0,3,0,2,0,10,0,16,0,11,3,11,7,10,8,14,10,24,11,36,16,41,17,48,17,63,17,65,21,70,24,61,24,71,24,71,29,67,30,49,33,82,34,134,36,181
