ID,ESTADO,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020
1,AGS,2,3,8,10,9,17,24,34,13,37,52,59,65,106,85,74,81,57,53,53,75,122,164,183,111
2,BC,10,15,16,25,35,45,36,36,47,95,116,136,148,140,152,135,174,185,213,213,242,201,245,345,422
3,BCS,4,1,2,0,6,3,8,13,5,20,15,20,19,31,30,24,35,45,62,62,81,92,141,149,270
4,CAMP,0,1,0,1,2,2,3,3,4,1,2,3,6,8,8,11,2,9,13,13,9,10,15,12,17
5,CHIS,4,0,2,0,0,1,2,6,1,6,10,16,18,36,31,24,31,36,45,45,67,52,65,80,77
6,CHIH,1,2,2,1,3,6,6,4,7,6,8,5,14,16,16,21,16,22,24,24,42,29,52,68,76
7,CDMX,42,42,58,80,82,121,93,140,186,231,238,401,505,398,332,434,517,591,757,757,938,697,1100,1350,1782
8,COAH,5,1,5,10,13,17,23,21,14,35,34,54,62,86,61,116,140,162,179,179,303,222,391,550,753
9,COL,1,3,2,2,3,6,3,4,5,9,9,11,14,13,11,11,8,9,12,12,20,19,22,19,30
10,DGO,7,0,0,3,4,8,1,1,5,6,15,24,17,35,32,23,18,24,28,28,51,48,78,84,113
11,GTO,13,10,12,6,15,31,34,88,75,84,93,107,126,132,127,79,130,173,200,200,214,162,164,242,286
12,GRO,6,0,6,14,10,10,12,12,9,13,13,19,46,52,40,47,80,84,102,102,118,112,128,145,149
13,HGO,0,1,1,5,7,8,31,13,11,17,22,24,40,43,46,52,66,60,65,65,82,73,79,87,91
14,JAL,9,18,3,15,13,55,96,120,142,195,232,220,212,209,227,275,377,496,638,638,769,774,703,752,862
15,MEX,13,15,22,41,63,83,117,71,83,154,228,289,266,298,311,318,371,340,406,406,488,434,572,609,793
16,MICH,0,0,3,2,10,16,11,11,10,14,24,36,41,48,63,65,70,61,71,71,67,49,82,134,181
17,MOR,0,1,1,1,4,10,6,2,2,13,13,21,26,25,17,16,34,36,31,31,62,45,57,51,62
18,NAY,0,0,1,2,3,3,1,1,1,3,3,8,14,15,18,13,19,20,27,27,33,18,27,37,40
19,NL,21,2,1,8,35,1,5,0,6,1,75,103,43,66,130,161,148,109,80,80,165,203,142,333,551
20,OAX,2,2,6,1,8,7,0,2,0,10,11,24,33,36,25,30,50,25,46,46,56,30,81,61,76
21,PUE,2,2,3,10,17,18,33,40,42,38,66,68,96,105,70,88,121,103,122,122,220,199,222,262,340
22,QRO,11,10,8,5,10,17,9,16,25,31,41,46,54,56,47,43,61,67,67,67,59,37,48,58,68
23,QROO,7,9,19,12,29,23,27,38,19,20,30,37,53,52,45,35,43,50,97,97,115,110,148,171,200
24,SIN,3,8,7,16,9,14,17,24,21,23,31,45,59,61,78,65,83,74,104,104,125,111,154,187,156
25,SLP,3,4,1,5,4,5,10,9,12,23,46,54,60,84,88,77,125,132,181,181,253,248,271,329,365
26,SON,0,2,0,9,11,13,17,7,13,16,35,48,53,48,40,62,98,119,148,148,131,114,141,176,173
27,TAB,0,1,1,0,0,11,17,21,18,29,53,46,76,109,129,130,178,233,277,277,352,342,331,293,362
28,TAMP,0,1,2,2,5,8,3,4,3,9,13,17,23,33,29,32,54,61,70,70,83,67,82,111,102
29,TLAX,1,0,0,0,2,5,10,12,6,13,15,35,46,41,37,51,64,66,76,76,71,72,75,83,92
30,VER,8,8,8,20,25,30,24,27,28,42,69,130,161,171,161,188,266,305,353,353,430,404,412,429,395
31,YUC,1,8,4,8,0,10,11,3,8,16,16,18,19,10,25,18,25,34,72,72,61,68,64,88,148
32,ZAC,0,1,2,0,4,2,7,6,4,9,28,32,60,60,53,34,26,39,34,34,45,45,39,48,45
