municipio,nombre,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NANL,PES,RSP,FXM,CI_1,CI_2,VFNL,JHHNL,TOTAL,Ganador
1,ABASOLO,26.96,1.54,0,25.47,6.1,21.11,0,0,0,0,0,17.79,0,0,0,2018,PAN
2,AGUALEGUAS,62.63,0,0,0.07,0,28.12,2.79,0,0,0.1,0,0,0,4.64,0,2866,PAN
3,LOS ALDAMAS,0.44,0,0,0,0,47.47,0,0,0,0,0,0,0,42.77,6.24,1363,MC
4,ALLENDE,25.98,45.22,0.21,1.1,0.94,9.51,4.7,1.57,0,8.98,0,0,0,0,0,13151,PRI
5,ANÁHUAC,7.08,0,0,0,0,1.02,0,0,0,0,0,30.57,0,53.27,5.5,8964,VFNL
6,APODACA,10.07,0,0,0.85,0.78,9.73,9.11,0.41,0.5,0.29,0.42,0,0,66.31,0,219745,VFNL
7,ARAMBERRI,34.37,0,0,0,0,0.22,0,0,0,0,0,0,0,50.56,12.68,10057,VFNL
8,BUSTAMANTE,34.45,21.7,0.23,0,0,0.57,0,0,0,31.47,3.92,0,0,0,5.96,2650,PAN
9,CADEREYTA JIMÉNEZ,40.4,0,0,0,0,4.35,0,0,1.12,1.91,6.46,0,0,24.75,18.73,38107,PAN
10,EL CARMEN,33.04,0,0,21.68,7.1,8.6,10.71,1.11,0,0,0.46,3.28,0,11.94,0,11654,PAN
11,CERRALVO,54.09,0,0,0,0,1.18,0,0,0,0.39,0,0,0,5.47,37.19,4313,PAN
12,CIÉNEGA DE FLORES,29.29,0,0,0,0,3.82,0,0,0,0.39,5.52,0,0,11.08,48.11,15168,JHHNL
13,CHINA,1.29,26.72,0.3,1.62,0.84,2.29,2.76,27.99,0,0,0,32.17,0,0,0,6341,CI_1
14,DR. ARROYO,4.78,0,0,0.65,0,1.58,29.99,0,0,0.9,0,0,0,59.8,0,22052,VFNL
15,DR. COSS,4.64,0,0,0.45,0,0.5,0,46.59,0,2.68,0,0,0,43.57,0,1788,PANAL
16,DR. GONZÁLEZ,9.43,0,0,1.7,25.4,1.06,0,21.67,0,0,0,0,0,38.74,0,2354,VFNL
17,GALEANA,12.61,0,0,0,0,1.53,0,0,0,0.1,0,0,0,44.95,38.09,19670,VFNL
18,GARCÍA,11.08,0,0,1.54,1.85,14.21,13.64,0.8,1.36,1.54,1.22,23.78,15.15,11.16,0,72307,CI_1
19,SAN PEDRO GARZA GARCÍA,33.15,0,0,0,0,2.75,0,0,0,0.06,0.13,57.1,0,3.14,2.39,73312,CI_1
20,GRAL. BRAVO,50.93,0,0,0,0,0.37,0,0,0,0,0,0,0,45.77,1.38,3758,PAN
21,GRAL. ESCOBEDO,26.82,0,0,0,0,20.95,0,0,0,0.8,0.95,0,0,18.07,30.42,137607,JHHNL
22,GRAL. TERÁN,0,0,0,0,0,42.4,0,0,0,8.39,0.38,0,0,40.14,6.4,7630,MC
23,GRAL. TREVIÑO,58.63,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0.92,1523,PAN
24,GRAL. ZARAGOZA,7.62,0,0,0,0,0,0,0,0,0.4,0,0,0,43.2,47.07,4294,JHHNL
25,GRAL. ZUAZUA,15.67,17.01,0.85,2.35,12.31,6.89,12.42,0.6,3.75,24.87,1.33,0,0,0,0,19481,RSP
26,GUADALUPE,29.02,29.06,0.82,2.96,1.97,16.89,14.41,1.26,0.68,0.37,0.55,0,0,0,0,287167,PRI
27,LOS HERRERAS,10.02,0,0,42.04,0,3.88,0,7.48,0,0,0,0,0,34.42,0,2086,PVEM
28,HIDALGO,14.79,0,0,7.89,0.36,24.72,0,3.84,0.7,8.99,3.14,21.31,0,11.86,0,8154,MC
29,HIGUERAS,60.84,0,0,0,0,0,0,0,0,0,0,0,0,37.54,0.65,1236,PAN
30,HUALAHUISES,1.64,0,0,0.12,1.64,0,0,0.4,0,0.3,0,46.38,0,47.55,0,4280,VFNL
31,ITURBIDE,43.35,0,0,0,0,0,0,0,0,0,0,0,0,55.25,0.46,2856,VFNL
32,JUÁREZ,21.89,0,0,0,0,20.16,0,0,0.69,0.27,1.02,0,0,37.15,17,100442,VFNL
33,LAMPAZOS DE NARANJO,72.67,0,0,0,0,2.94,0,0,0,0,0,0,0,3.59,19.53,3677,PAN
34,LINARES,31.83,0,0,1.05,1.67,8.57,13.32,1.6,0,0.8,0,20.79,0,17.48,0,31168,PAN
35,MARÍN,18.64,0,0,70.1,0,0,0,0.35,0,0,0,0,0,9.6,0,3187,PVEM
36,MELCHOR OCAMPO,26.56,0,0,0,0,7.45,0,0,0,0,0,0,0,0.61,62.94,1476,JHHNL
37,MIER Y NORIEGA,26.37,0,0,24.43,0.18,17.27,22.07,0,0,0,0,0,0,7.6,0,4880,PAN
38,MINA,8.07,0,0,30.14,0,0,0,0.09,0,0,0,4.58,0,55.95,0,3494,VFNL
39,MONTEMORELOS,14.68,0,0,0,0,15.5,0,0,0,0.63,0.59,3.79,0,37.17,25.29,24640,VFNL
40,MONTERREY,8.02,0,0,0,0,47.23,0,0,0.25,0.35,0.25,0.33,0,31.72,10.11,538941,MC
41,PARÁS,52.27,0,0,0,0,0,0,0,0,0,0,0,0,44.72,1.72,1630,PAN
42,PESQUERÍA,46.76,0,0,0,0,7.97,0,0,0,0.76,0,0,0,13.96,28.54,23321,PAN
43,LOS RAMONES,39.3,0,0,0,0,0,0,0,0,3.05,0,0,0,12.12,42.75,2987,JHHNL
44,RAYONES,73.17,0,0,0,0,0.7,0,0,0,0,0,0,0,8.41,15.75,2426,PAN
45,SABINAS HIDALGO,29.68,0,0,0,0,49.96,0,0,0,3.37,0.15,0,0,4.76,10.43,16814,MC
46,SALINAS VICTORIA,27.65,0,0,0,0,36.01,0,0,0,0.49,3.16,2.02,0,18.56,10.09,22592,MC
47,SAN NICOLÁS DE LOS GARZA,57.05,0,0,0,0,14.96,0,0,0,0.28,0.69,0.88,0,10.46,14.07,207267,PAN
48,SANTA CATARINA,52.09,0,0,0,0,16.03,0,0,0.61,1.19,2.12,0,0,10.66,15.14,104951,PAN
49,SANTIAGO,14.74,0,0,0,0,2.83,0,0,0.51,0.16,0,25.03,0,36.82,18.11,25156,VFNL
50,VALLECILLO,2.26,0,0,0,0,0,0,0,0,0,0,0,0,40.37,56.18,1682,JHHNL
51,VILLALDAMA,28.67,0,0,35.02,0.03,31.73,0.45,0,0,0.16,0,0,0,2.74,0,3101,PVEM
