ID_ESTADO,NOMBRE_ESTADO,CANDIDATO,PARTIDO,VOTOS_X_CANDIDATO,TOTAL_VOTOS,PORCENTAJE,ACTAS_CAPTURADAS,PARTICIPACION
4,CAMPECHE,SANDRA GUADALUPE SANCHEZ DIAZ,PVEM,0,189,0,0.00084,0.979274
4,CAMPECHE,ELISEO FERNANDEZ MONTUFAR,MC,45,189,0.238095,0.00084,0.979274
4,CAMPECHE,NIC-THE-HA AGUILERA SILVA,PES,0,189,0,0.00084,0.979274
4,CAMPECHE,MARIA MAGDALENA COCOM ARBEZ,RSP,1,189,0.005291,0.00084,0.979274
4,CAMPECHE,LUIS ALONSO GARCIA HERNANDEZ,FXM,0,189,0,0.00084,0.979274
4,CAMPECHE,CHRISTIAN MISHEL CASTRO BELLO,PAN_PRI_PRD,80,189,0.42328,0.00084,0.979274
4,CAMPECHE,LAYDA ELENA SANSORES SAN ROMAN,PT_MORENA,61,189,0.322751,0.00084,0.979274
6,COLIMA,Mely Romero Celis,PAN_PRI_PRD,2188,9127,0.264347,0.045918,0.016406
6,COLIMA,Aurora Ileana Cruz Alcaraz,PT,131,9127,0.015827,0.045918,0.016406
6,COLIMA,Virgilio Mendoza Amezcua,PVEM,886,9127,0.107044,0.045918,0.016406
6,COLIMA,Leoncio Alfonso Morán Sánchez,MC,1366,9127,0.165036,0.045918,0.016406
6,COLIMA,Indira Vizcaíno Silva,MORENA_PANAL,2919,9127,0.352664,0.045918,0.016406
6,COLIMA,Evangelina Bañuelos Rodríguez,RSP,99,9127,0.011961,0.045918,0.016406
6,COLIMA,Claudia Valeria Yáñez Centeno y Cabrera,FXM,148,9127,0.017881,0.045918,0.016406
19,NUEVO LEON,Fernando Alejandro Larrazabal Breton,PAN,"8,533","51,718",0.181029,0.025274,0.485978
19,NUEVO LEON,Samuel Alejandro García Sepúlveda,MC,"17,552","51,718",0.372369,0.025274,0.485978
19,NUEVO LEON,Carolina Maria Garza Guerra,PES,158,"51,718",0.003352,0.025274,0.485978
19,NUEVO LEON,Virginia Daney Siller Tristan,RSP,122,"51,718",0.002588,0.025274,0.485978
19,NUEVO LEON,Emilio Jacques Rivera,FXM,328,"51,718",0.006958,0.025274,0.485978
