distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,CAND_IND_3,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,JHH,VXM,TOTAL,GANADOR_2018,GANADOR_2021
901,1,9,0,0,0,3.31,2.11,2.85,53.38,2.95,1.28,2.12,0,0,0,32,0,0,0,0,0,0,0,0,1,135159,PT_MORENA_PES,MORENA
902,2,9,0,0,0,0,0,3.07,0,1.53,0.79,1.73,0,0,0,51.38,0,0,0,41.5,0,0,0,0,1,188894,PT_MORENA_PES,PAN_PRI_PRD
903,3,9,0,0,0,0,0,2.55,0,2.04,0.92,5.64,0,0,0,44.25,0,0,0,44.61,0,0,0,0,1,196013,PT_MORENA_PES,PVEM_PT_MORENA
904,4,9,0,0,0,0,0,3.8,0,2.81,0.96,2.21,0,0,0,32.84,0,0,0,57.39,0,0,0,0,1,121675,PT_MORENA_PES,PVEM_PT_MORENA
905,5,9,0,0,0,0,0,7.81,0,1.16,0.69,4.64,0,0,0,47.94,0,0,0,37.75,0,0,0,0,1,143550,PT_MORENA_PES,PAN_PRI_PRD
906,6,9,0,0,0,2.56,3.41,3.27,29.38,2.07,0.75,2.83,0,0,0,55.74,0,0,0,0,0,0,0,0,1,178642,PT_MORENA_PES,PAN_PRI_PRD
907,7,9,0,0,0,2.6,1.93,3.22,44.63,1.71,0.97,2.21,0,0,0,42.73,0,0,0,0,0,0,0,0,1,180423,PT_MORENA_PES,MORENA
908,8,9,0,0,0,0,0,3.32,0,2.65,1.41,1.86,0,0,0,44.09,0,0,0,46.68,0,0,0,0,1,136095,PT_MORENA_PES,PVEM_PT_MORENA
909,9,9,0,0,0,6.03,3.37,3.23,45.2,3.4,1.09,2.39,0,0,0,35.3,0,0,0,0,0,0,0,0,1,132298,PT_MORENA_PES,MORENA
910,10,9,0,0,0,0,0,4.73,0,0.9,0.53,1.15,0,0,0,57.53,0,0,0,35.15,0,0,0,0,1,191047,PT_MORENA_PES,PAN_PRI_PRD
