distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CI,PAN-PRI-PRD,PVEM-PT-MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,LISTA_NOMINAL_CASILLA,JHH,VXM,TOTAL,GANADOR_2018,GANADOR_2021,PARTICIPACION
901,1,9,0,0,0,3.19,2.05,2.93,51.15,2.86,1.24,2.03,0,30.65,0,0.15,3.75,314910,0,1,143054,PT_MORENA_PES,MORENA,45.43
902,2,9,0,0,0,0,0,3.04,0,1.5,0.78,1.68,0,49.79,40.49,0.13,2.59,369677,1,1,200108,PT_MORENA_PES,PAN_PRI_PRD,54.13
903,3,9,0,0,0,0,0,2.4,0,1.97,0.89,5.44,0,43.23,43.36,0.1,2.61,381923,1,1,206042,PT_MORENA_PES,PVEM_PT_MORENA,53.95
904,4,9,0,0,0,0,0,3.57,0,2.7,0.92,2.12,0,31.72,55.73,0.12,3.12,288317,1,1,127440,PT_MORENA_PES,PVEM_PT_MORENA,44.2
905,5,9,0,0,0,0,0,7.58,0,1.12,0.67,4.49,0,46.42,36.83,0.13,2.76,280902,1,1,149018,PT_MORENA_PES,PAN_PRI_PRD,53.05
906,6,9,0,0,0,2.47,3.28,3.1,28.53,2.01,0.72,2.74,0,53.83,0,0.1,3.22,326701,0,1,186340,PT_MORENA_PES,PAN_PRI_PRD,57.04
907,7,9,0,0,0,2.5,1.87,3.12,43.11,1.65,0.94,2.14,0,41.39,0,0.11,3.16,368661,0,1,188357,PT_MORENA_PES,MORENA,51.09
908,8,9,0,0,0,0,0,3.2,0,2.56,1.37,1.78,0,42.37,45.2,0.17,3.35,282791,1,1,144720,PT_MORENA_PES,PVEM_PT_MORENA,51.18
909,9,9,0,0,0,5.8,3.25,3.02,43.42,3.23,1.07,2.29,0,33.74,0,0.11,4.07,306258,0,1,137791,PT_MORENA_PES,MORENA,44.99
910,10,9,0,0,0,0,0,4.6,0,0.88,0.53,1.13,0,56.23,34.68,0.1,1.84,323748,1,1,197201,PT_MORENA_PES,PAN_PRI_PRD,60.91
911,11,9,0,0,0,2.1,1.76,3.83,43.39,1.43,0.67,1.9,0,41.74,0,0.13,3.05,306401,0,1,171460,PT_MORENA_PES,MORENA,55.96
912,12,9,0,0,0,1.97,1.45,3.42,33.02,1.48,0.75,2,0,52.7,0,0.2,3.01,302186,0,1,157995,PT_MORENA_PES,PAN_PRI_PRD,52.28
913,13,9,0,0,0,0,0,3.23,0,1.91,0.96,2.57,0,42.28,46.21,0.14,2.7,359482,1,1,188085,PT_MORENA_PES,PVEM_PT_MORENA,52.32
914,14,9,0,0,0,2.55,1.9,7.65,38.21,1.37,0.76,4.04,0,39.9,0,0.16,3.46,278674,0,1,148276,PT_MORENA_PES,PAN_PRI_PRD,53.21
915,15,9,0,0,0,0,0,2.74,0,0.62,0.35,0.82,0,72.22,21.54,0.12,1.59,374479,1,1,239168,PT_MORENA_PES,PAN_PRI_PRD,63.87
916,16,9,0,0,0,0,0,3.36,0,1.5,0.6,2.42,0,50.32,38.91,0.12,2.77,331119,1,1,176303,PT_MORENA_PES,PAN_PRI_PRD,53.24
917,17,9,0,0,0,0,0,2.71,0,2.03,0.9,2.01,0,56.33,33.44,0.07,2.52,334994,1,1,195301,PT_MORENA_PES,PAN_PRI_PRD,58.3
918,18,9,0,0,0,4.77,1.97,3.79,39.78,1.63,0.67,1.52,0,42.28,0,0.17,3.41,325066,0,1,167060,PT_MORENA_PES,PAN_PRI_PRD,51.39
919,19,9,0,0,0,3.68,2.23,3.21,49.4,2.03,0.73,1.63,0,33.41,0,0.1,3.58,305131,0,1,145055,PT_MORENA_PES,MORENA,47.54
920,20,9,0,0,0,0,0,3.37,0,1.7,0.84,1.63,0,31.92,57.43,0.1,3.01,290479,1,1,131115,PT_MORENA_PES,PVEM_PT_MORENA,45.14
921,21,9,0,0,0,4.58,3.48,3.9,44.41,3,1.36,3.23,0,31.65,0,0.12,4.27,330380,0,1,149910,PT_MORENA_PES,MORENA,45.38
922,22,9,0,0,0,3.64,2.69,2.88,60.03,2.48,0.73,1.63,0,21.52,0,0.09,4.32,289994,0,1,111458,PT_MORENA_PES,MORENA,38.43
923,23,9,0,0,0,0,0,4.05,0,1.14,0.58,1.67,0,49.54,40.26,0.11,2.63,361934,1,1,205720,PT_MORENA_PES,PAN_PRI_PRD,56.84
924,24,9,0,0,0,3.11,2,3.14,31.83,1.18,0.62,1.71,0,53.73,0,0.12,2.57,338227,0,1,194566,PT_MORENA_PES,PAN_PRI_PRD,57.53
1201,1,12,0,0,0,0,0,3.28,0,0.73,0.55,0.59,0,49.65,42.15,0.01,3.05,261484,1,1,155767,PT_MORENA_PES,PAN_PRI_PRD,59.57
1202,2,12,9.74,22.23,12.78,4.27,3.53,2.38,32.09,1.78,1.81,5.29,0,0,0,0.04,4.06,296540,0,0,166948,PT_MORENA_PES,MORENA,56.3
1203,3,12,0,0,0,0,0,1.74,0,2.67,1.25,0.66,0,41.64,49.12,0.02,2.89,319427,1,1,184568,PT_MORENA_PES,PVEM_PT_MORENA,57.78
1204,4,12,0,0,0,1.49,1.06,6.09,53.91,1.64,0.91,2.04,0,29.45,0,0.06,3.35,299066,0,1,153505,PT_MORENA_PES,MORENA,51.33
1205,5,12,0,0,0,0,0,5.12,0,2.9,1.01,0.69,0,31.93,51.55,2.3,4.49,276233,1,1,182071,PT_MORENA_PES,PVEM_PT_MORENA,65.91
1206,6,12,0,0,0,0,0,2.14,0,1.28,1.21,0.47,0,56.67,34.1,0.05,4.08,282383,1,1,175475,PT_MORENA_PES,PAN_PRI_PRD,62.14
1207,7,12,0,0,0,0,0,1.59,0,1.21,1.06,1.11,0,41.98,49.73,0.06,3.27,278619,1,1,156249,PT_MORENA_PES,PVEM_PT_MORENA,56.08
1208,8,12,0,0,0,0,0,1.69,0,2.41,0.81,1.18,0,38.14,51.46,0.01,4.3,259805,1,1,167346,PT_MORENA_PES,PVEM_PT_MORENA,64.41
1209,9,12,0,0,0,1.86,1.54,2.25,48.45,1.85,1.03,1.39,0,38.15,0,0.03,3.46,289510,0,1,140356,PT_MORENA_PES,MORENA,48.48
2001,1,20,0,0,0,0,0,4.65,0,2.51,2.27,2.98,0,30.81,53.22,0.16,3.41,280055,1,1,189340,PT_MORENA_PES,PVEM_PT_MORENA,67.61
2002,2,20,0,0,0,4.94,5.64,2.37,41.34,1.91,2.54,2.04,0,35.06,0,0.01,4.14,283688,0,1,179002,PRI_PVEM_NA,MORENA,63.1
2003,3,20,0,0,0,0,0,2.86,0,2.35,1.97,6.3,0,25.95,56.81,0.04,3.72,307933,1,1,165784,PT_MORENA_PES,PVEM_PT_MORENA,53.84
2004,4,20,0,0,0,0,0,2.53,0,2.08,1.49,2.86,0,24.7,61.88,0.04,4.42,327219,1,1,145790,PT_MORENA_PES,PVEM_PT_MORENA,44.55
2005,5,20,0,0,0,0,0,1.93,0,1.98,1.82,2.54,0,20.96,67.49,0.03,3.24,281467,1,1,158302,PT_MORENA_PES,PVEM_PT_MORENA,56.24
2006,6,20,0,0,0,4.07,12.13,2.08,43.02,3.06,1.89,3.69,0,24.79,0,0.04,5.24,288511,0,1,151771,PT_MORENA_PES,MORENA,52.6
2007,7,20,0,0,0,0,0,2.18,0,2.88,1.96,2.21,0,31.3,56.81,0.03,2.64,288885,1,1,190695,PT_MORENA_PES,PVEM_PT_MORENA,66.01
2008,8,20,0,0,0,0,0,3.8,0,4.31,1.68,4.08,0,30.36,52.79,0.06,2.93,323518,1,1,166460,PT_MORENA_PES,PVEM_PT_MORENA,51.45
