distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,CAND_IND_3,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,JHH,VXM,TOTAL,GANADOR_2018,GANADOR_2021
901,1,9,0,0,0,0,0,31.68,0,2.45,0.8,2.67,0,3.14,0,23.88,0,0,0,35.37,0,0,0,1,1,66514,PT-MORENA-PES,PVEM-PT-MORENA
902,2,9,0,0,0,0,0,45.58,0,1.43,0.49,1.25,0,0,0,34.44,0,0,0,16.82,0,0,0,1,1,69342,PT-MORENA-PES,MC
903,3,9,0,0,0,0,0,31.92,0,3.59,0.83,2.68,0,0,0,27.48,0,0,0,33.51,0,0,0,1,1,66195,PT-MORENA-PES,PVEM-PT-MORENA
904,4,9,0,0,0,0,0,37.09,0,3.03,1.02,1.61,0,0,0,24.21,0,0,0,33.04,0,0,0,1,1,63525,PT-MORENA-PES,MC
905,5,9,0,0,0,0,0,35.57,0,2.21,1.03,1.91,0,0,0,31.53,0,0,0,27.75,0,0,0,1,1,47885,PT-MORENA-PES,MC
906,6,9,0,0,0,0,0,33.63,0,2.54,0.78,2.81,0,0,0,29.4,0,0,0,30.85,0,0,0,1,1,61278,PT-MORENA-PES,MC
907,7,9,0,0,0,0,0,26.62,0,3.47,4.15,2.94,0,0,0,33.85,0,0,0,28.96,0,0,0,1,1,58846,PT-MORENA-PES,PAN-PRI-PRD
908,8,9,0,0,0,0,0,25.77,0,4.05,1.52,1.97,0,0,0,29.23,0,0,0,37.46,0,0,0,1,1,60143,PT-MORENA-PES,PVEM-PT-MORENA
909,9,9,0,0,0,0,0,29.12,0,3.26,0.52,3.86,0,0,0,29.24,0,0,0,34,0,0,0,1,1,34536,PT-MORENA-PES,PVEM-PT-MORENA
910,10,9,0,0,0,0,0,29.35,0,1.66,0.43,2.09,0,0,0,38.58,0,0,0,27.89,0,0,0,1,1,36589,PT-MORENA-PES,PAN-PRI-PRD
911,11,9,0,0,0,0,0,30.58,0,1.77,0.98,4.13,0,0,0,26.54,0,0,0,35.99,0,0,0,1,1,45805,PT-MORENA-PES,PVEM-PT-MORENA
912,12,9,0,0,0,0,0,27.39,0,2.3,0.92,2.14,0,0,0,33.95,0,0,0,33.29,0,0,0,1,1,27885,PT-MORENA-PES,PAN-PRI-PRD
913,13,9,0,0,0,0,0,3.87,0,1.71,2.52,2.48,0,0,0,44.27,0,0,0,45.15,0,0,0,1,1,55222,PT-MORENA-PES,PVEM-PT-MORENA
914,14,9,0,0,0,0,0,5.81,0,1.94,2.63,2.33,0,0,0,35.89,0,0,0,51.41,0,0,0,1,1,43714,PT-MORENA-PES,PVEM-PT-MORENA
915,15,9,0,0,0,0,0,7.36,0,4.04,1.42,4.12,0,0,0,41.65,0,0,0,41.41,0,0,0,1,1,45722,PT-MORENA-PES,PAN-PRI-PRD
916,16,9,16.18,29.23,1.48,0,0,3.81,0,2.35,2.93,2.16,0,0,0,0,0,0,0,41.86,0,0,0,1,0,60707,PT-MORENA-PES,PVEM-PT-MORENA
917,17,9,18.21,32.34,1.56,0,0,1.97,0,2.05,2.83,2.04,0,0,0,0,0,0,0,39,0,0,0,1,0,49078,PT-MORENA-PES,PVEM-PT-MORENA
918,18,9,0,0,0,0,0,4.28,0,2.16,3.61,2.67,0,0,0,39.48,0,0,0,47.8,0,0,0,1,1,41133,PT-MORENA-PES,PVEM-PT-MORENA
919,19,9,0,0,0,5.35,1.6,3.97,37.75,1.39,1.21,1.53,0,0,0,47.2,0,0,0,0,0,0,0,0,1,69114,PT-MORENA-PES,PAN-PRI-PRD
920,20,9,12.24,26.07,2.6,4.33,1.88,2.65,44.95,1.72,0.74,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,41770,PT-MORENA-PES,MORENA
921,21,9,0,0,0,8.12,1.51,9.26,25.2,1.61,0.92,0.7,0,0,0,52.68,0,0,0,0,0,0,0,0,1,33288,PT-MORENA-PES,PAN-PRI-PRD
922,22,9,8.28,26.35,6.9,2.45,1.33,2.58,47.43,1.54,0.96,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,49263,PT-MORENA-PES,MORENA
923,23,9,8.79,30.39,4.78,3.13,1.46,2.69,44.13,1.55,1.18,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,58366,PT-MORENA-PES,MORENA
924,24,9,5.07,32.33,1.58,0,0,3.42,0,1.35,0.96,5.06,0,0,0,0,0,0,0,50.22,0,0,0,1,0,41056,PT-MORENA-PES,PVEM-PT-MORENA
1201,1,12,0,0,0,0,0,3.35,0,1.64,1.65,2.1,0,0,0,33.06,0,0,0,58.2,0,0,0,1,1,46458,PT-MORENA-PES,PVEM-PT-MORENA
1202,2,12,0,0,0,5.74,2.38,4.59,46.53,1.66,1.32,1.97,0,0,0,35.82,0,0,0,0,0,0,0,0,1,29099,PT-MORENA-PES,MORENA
1203,3,12,0,0,0,0,0,2.86,0,2.13,1.36,2.26,0,0,0,51.24,0,0,0,40.15,0,0,0,1,1,61244,PT-MORENA-PES,PAN-PRI-PRD
1204,4,12,0,0,0,0,0,6.86,0,5.12,2.11,3.26,0,0,0,37.27,0,0,0,45.39,0,0,0,1,1,38684,PT-MORENA-PES,PVEM-PT-MORENA
1205,5,12,0,0,0,8.27,1.03,1.49,36.09,1.68,1.53,1.71,0,0,0,48.21,0,0,0,0,0,0,0,0,1,21948,PT-MORENA-PES,PAN-PRI-PRD
1206,6,12,12.68,18.06,1.56,6.55,1.84,8.67,40.39,3.54,3.84,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,41689,PT-MORENA-PES,MORENA
1207,7,12,8.35,23.08,2.81,14.66,1.12,2.22,42.14,2.18,1.13,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,61765,PT-MORENA-PES,MORENA
1208,8,12,0,0,0,0,0,2.69,0,1.87,1.01,4.75,0,0,0,46,0,0,0,43.69,0,0,0,1,1,31209,PT-MORENA-PES,PAN-PRI-PRD
1209,9,12,0,0,0,12.7,4.11,3.81,31.11,3.45,1.4,2.48,0,0,0,40.96,0,0,0,0,0,0,0,0,1,48956,PT-MORENA-PES,PAN-PRI-PRD
2001,1,20,0,0,0,9.63,5.86,3.7,52.86,2.78,5.67,5.54,0,0,0,13.95,0,0,0,0,0,0,0,0,1,46029,PT-MORENA-PES,MORENA
2002,2,20,0,0,0,2.92,1.1,4.41,67.77,1.52,1.22,1.71,0,0,0,19.35,0,0,0,0,0,0,0,0,1,39613,PRI-PVEM-NA,MORENA
2003,3,20,41.93,8.68,0.65,0,0,2.03,0,1.43,0.99,1.53,0,0,0,0,0,0,0,42.76,0,0,0,1,0,36631,PT-MORENA-PES,PVEM-PT-MORENA
2004,4,20,37.83,10.43,0.86,0,0,3.14,0,3.57,0.87,1.32,0,0,0,0,0,0,0,41.99,0,0,0,1,0,43567,PT-MORENA-PES,PVEM-PT-MORENA
2005,5,20,31.7,13.18,1.05,0,0,2.34,0,1.45,0.95,1,0,0,0,0,0,0,0,48.34,0,0,0,1,0,34255,PT-MORENA-PES,PVEM-PT-MORENA
2006,6,20,26.62,8.23,0.81,0,0,2.15,0,1.25,0.69,0.89,0,0,0,0,0,0,0,59.36,0,0,0,1,0,55882,PT-MORENA-PES,PVEM-PT-MORENA
2007,7,20,42.91,15.19,0.76,0,0,5.04,0,1.46,1.49,0.96,0,0,0,0,0,0,0,32.18,0,0,0,1,0,38121,PT-MORENA-PES,PAN
2008,8,20,35.61,13.68,0.94,4.63,3.46,3.64,34.81,1.45,0.92,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,31004,PT-MORENA-PES,PAN
2009,9,20,35.03,4.25,1.99,0,0,2.74,0,2.76,1.01,1.08,0,0,0,0,0,0,0,51.14,0,0,0,1,0,43695,PT-MORENA-PES,PVEM-PT-MORENA
2010,10,20,47.15,2.79,0.62,0,0,3.36,0,1.39,1.27,0.62,0,0,0,0,0,0,0,42.8,0,0,0,1,0,50495,PT-MORENA-PES,PAN
2101,1,21,28.59,5.83,1.13,0,0,3.05,0,3.8,1.28,0.97,0,0,0,0,0,0,0,55.34,0,0,0,1,0,30782,PT-MORENA-PES,PVEM-PT-MORENA
2102,2,21,0,0,0,0,0,4.1,0,3.52,5,3.46,0,0,9.41,35.62,0,0,0,38.89,0,0,0,1,1,4801,PT-MORENA-PES,PVEM-PT-MORENA
2103,3,21,0,0,0,0,0,4.14,0,2.95,4.09,5.28,0,0,0,29.79,0,0,0,53.75,0,0,0,1,1,4132,PT-MORENA-PES,PVEM-PT-MORENA
2104,4,21,0,0,0,3.38,5.8,1.55,34.58,2.19,9.3,2.99,0,0,0,40.21,0,0,0,0,0,0,0,0,1,3106,PT-MORENA-PES,PAN-PRI-PRD
2105,5,21,0,0,0,0,0,2.05,0,2.98,2.26,2.63,0,0,0,32.87,0,0,0,57.21,0,0,0,1,1,20469,PT-MORENA-PES,PVEM-PT-MORENA
2106,6,21,0,0,0,0,0,2.15,0,1.9,1.56,2.29,0,0,0,47.35,0,0,0,44.75,0,0,0,1,1,7522,PT-MORENA-PES,PAN-PRI-PRD
2107,7,21,0,0,0,0,0,9.05,0,2.17,1.82,6.67,0,0,0,30.36,0,0,0,49.92,0,0,0,1,1,19244,PT-MORENA-PES,PVEM-PT-MORENA
