seccion,municipio,PAN,MC,PES,RSP,FXM,VFNL,JHHNL,NO_REGISTRADOS,NULOS,LISTA_NOMINAL,TOTAL,Ganador,PARTICIPACION,COLOR
1,ABASOLO,29.89,33.13,0.96,0,0.6,11.52,22.45,0.12,1.32,1033,833,MC,80.64,OCHENTA
2,ABASOLO,19.81,41.24,1.02,0.76,1.02,15.07,20.32,0,0.76,1479,1181,MC,79.85,SESENTA
63,APODACA,15.96,39.49,0.45,0.15,0.98,23.9,16.49,0.08,2.5,3343,1322,MC,39.55,VEINTE
66,APODACA,18.01,37.87,0.61,0.39,0.45,26.39,14.88,0.06,1.33,6751,3092,MC,45.8,CUARENTA
68,APODACA,18.8,40.46,0.34,0.22,0.74,23.33,14.75,0.06,1.3,6873,3240,MC,47.14,CUARENTA
69,APODACA,17.19,38.25,0.35,0.15,0.79,26.92,15.25,0.15,0.94,4454,2013,MC,45.2,CUARENTA
70,APODACA,19.77,43.47,0.3,0.22,0.81,22.81,11.4,0,1.22,7433,3683,MC,49.55,CUARENTA
71,APODACA,20,35.93,0.33,0.65,0,27.64,13.82,0,1.63,1132,615,MC,54.33,CUARENTA
72,APODACA,21.45,30.67,0.5,0.25,0.25,30.67,14.21,0.25,1.75,881,401,MC,45.52,CUARENTA
73,APODACA,17.61,41.83,0.3,0.07,0.59,24.89,13.52,0.07,1.11,2767,1346,MC,48.64,CUARENTA
74,APODACA,11.78,39.49,0.54,0.18,0.72,31.7,13.22,0,2.36,1347,552,MC,40.98,CUARENTA
75,APODACA,11.96,35.21,0.23,0,0.23,39.05,12.42,0,0.9,1055,443,VFNL,41.99,CUARENTA
76,APODACA,15.59,31.18,0,0.36,0.54,34.95,14.7,0,2.69,1353,558,VFNL,41.24,CUARENTA
78,APODACA,12.84,34.03,0.3,0.45,0.9,32.09,16.12,0,3.28,1618,670,MC,41.41,CUARENTA
79,APODACA,17.03,33.57,0.24,0.24,0.72,29.14,15.71,0,3.36,2039,834,MC,40.9,CUARENTA
80,APODACA,11.6,35,0.2,0.6,0.2,34.6,15.6,0,2.2,1155,500,MC,43.29,CUARENTA
81,APODACA,23.11,41.93,0.18,0.41,0.59,21.52,10.96,0.04,1.26,4586,2709,MC,59.07,CUARENTA
82,APODACA,22.33,36,0.17,0.17,0.5,23.67,16.33,0,0.83,1040,600,MC,57.69,CUARENTA
83,APODACA,18.97,38.92,0.99,0,0.74,23.89,13.79,0.25,2.46,788,406,MC,51.52,CUARENTA
84,APODACA,19.67,41.87,0.4,0.14,0.78,23.54,12.3,0.04,1.24,10030,4982,MC,49.67,CUARENTA
85,APODACA,13.87,34.45,0.22,0.56,1.01,30.65,17,0,2.24,2046,894,MC,43.7,CUARENTA
86,APODACA,15.62,37.08,0.52,0.34,0.69,28.33,15.71,0,1.72,2648,1165,MC,44,CUARENTA
87,APODACA,18.36,37.72,0.64,0.36,0.14,26.19,14.88,0.07,1.64,2921,1405,MC,48.1,CUARENTA
88,APODACA,19.17,41.29,0.25,0.35,0.85,22.18,14.3,0,1.61,4012,1993,MC,49.68,CUARENTA
89,APODACA,15.74,35.83,0.28,0.19,1.02,32.69,13.43,0,0.83,1944,1080,MC,55.56,CUARENTA
90,APODACA,16.73,41.63,0.38,0.26,0.13,25.54,13.41,0,1.92,1489,783,MC,52.59,CUARENTA
91,APODACA,17.07,38.21,0.65,0,0.16,25.85,16.42,0,1.63,1151,615,MC,53.43,CUARENTA
92,APODACA,16.95,38.54,0.12,0.49,0.73,28.66,12.8,0,1.71,1579,820,MC,51.93,CUARENTA
93,APODACA,20,36.99,0.41,0.14,0.68,25.34,14.79,0,1.64,1425,730,MC,51.23,CUARENTA
94,APODACA,14.36,33.47,0.13,0.13,0.79,33.33,15.02,0,2.77,1625,759,MC,46.71,CUARENTA
95,APODACA,24.35,38.6,0.11,0.23,0.69,23.15,11.66,0,1.21,2923,1741,MC,59.56,CUARENTA
96,APODACA,13.04,31.23,0.29,0.14,0.86,32.52,19.63,0,2.29,1609,698,VFNL,43.38,CUARENTA
97,APODACA,16.87,35.54,0.45,0.15,0.75,24.25,19.28,0,2.71,1337,664,MC,49.66,CUARENTA
98,APODACA,13.73,30.3,0.3,0.15,0.15,32.54,19.7,0,3.13,1425,670,VFNL,47.02,CUARENTA
99,APODACA,18.06,40.61,0.12,0.47,0.12,26.09,12.87,0,1.65,1540,847,MC,55,CUARENTA
100,APODACA,19.03,34.86,0.23,0.38,0.53,28.08,14.69,0.08,2.13,2436,1314,MC,53.94,CUARENTA
101,APODACA,20.71,40.59,0.57,0.11,0.94,24.92,11.22,0.06,0.88,6267,3511,MC,56.02,CUARENTA
102,APODACA,24.05,43.3,0.25,0.22,0.49,20.43,9.97,0.05,1.25,11414,6379,MC,55.89,CUARENTA
103,APODACA,12.69,34.84,0.71,0.42,0.28,28.07,19.46,0,3.53,1477,709,MC,48,CUARENTA
104,APODACA,19.98,42.86,0.11,0,0.67,21.88,13.62,0,0.89,1584,896,MC,56.57,CUARENTA
105,APODACA,21.11,39.1,0.35,0.23,0.81,25.26,11.07,0,2.08,1534,867,MC,56.52,CUARENTA
106,APODACA,21.12,35.31,0,0,0,30.03,12.87,0,0.66,1117,606,MC,54.25,CUARENTA
107,APODACA,18.47,42.9,0.16,0.32,0.32,28.18,8.76,0,0.9,3349,1895,MC,56.58,CUARENTA
108,APODACA,22.57,43.18,0.27,0.18,0.61,24.37,8.27,0.05,0.5,11664,6579,MC,56.4,CUARENTA
109,APODACA,16.23,30.99,0.07,0.28,0.49,39.28,10.33,0.42,1.9,2646,1423,VFNL,53.78,CUARENTA
110,APODACA,17.01,37.54,0.47,0.13,0.6,35.55,7.51,0,1.2,2283,1505,MC,65.92,SESENTA
111,APODACA,18.06,35.89,0.11,0.11,1.26,31.54,10.97,0,2.06,1761,875,MC,49.69,CUARENTA
112,APODACA,14.04,28.94,0.43,0.29,0.43,41.55,11.6,0,2.72,1406,698,VFNL,49.64,CUARENTA
113,APODACA,16.92,28.79,0,0.51,0.76,40.15,10.61,0,2.27,735,396,VFNL,53.88,CUARENTA
114,APODACA,20.43,41.2,0.45,0.12,0.57,24.99,10.92,0.04,1.27,4443,2437,MC,54.85,CUARENTA
115,APODACA,14.84,35.05,0.34,0.23,0.68,32.31,14.73,0,1.83,1662,876,MC,52.71,CUARENTA
116,APODACA,7.21,23.5,0.4,0,0.53,52.74,12.95,0,2.67,2136,749,VFNL,35.07,VEINTE
117,APODACA,7.22,16.1,0.89,0.38,0.13,56.27,14.58,0,4.44,2005,789,VFNL,39.35,VEINTE
118,APODACA,9.65,33.11,0.83,0.17,0.5,39.27,14.31,0,2.16,1638,601,VFNL,36.69,VEINTE
119,APODACA,6.77,25.89,0.85,0.17,0.34,48.73,15.06,0,2.2,1675,591,VFNL,35.28,VEINTE
120,APODACA,9.07,24.8,0.92,0.34,0.46,44.32,17.34,0.11,2.64,2268,871,VFNL,38.4,VEINTE
121,APODACA,9.47,20.41,0.79,0.34,0.45,49.83,17.02,0,1.69,2403,887,VFNL,36.91,VEINTE
122,APODACA,10.95,33.09,0.49,0.16,0.65,39.79,12.5,0.08,2.29,3029,1224,VFNL,40.41,CUARENTA
123,APODACA,10.15,35.12,0.2,0.1,0.29,37.17,15.8,0,1.17,2691,1025,VFNL,38.09,VEINTE
124,APODACA,13.81,35.28,0.51,0.05,0.3,35.08,13.91,0.05,1.02,4671,1970,MC,42.18,CUARENTA
125,APODACA,10.85,30.37,1.83,0,0.85,41.1,14.15,0.49,0.37,2194,820,VFNL,37.37,VEINTE
126,APODACA,12.05,32.5,2.5,0.45,0.68,33.86,15.45,0,2.5,1281,440,VFNL,34.35,VEINTE
127,APODACA,13.57,28.1,0.19,0.19,0.97,41.28,14.15,0,1.55,1376,516,VFNL,37.5,VEINTE
128,APODACA,12.54,27.56,0.71,0,0.18,41.17,16.61,0,1.24,1265,566,VFNL,44.74,CUARENTA
130,APODACA,20.61,38.12,0.29,0.33,1,26.53,11.92,0.04,1.15,8027,4512,MC,56.21,CUARENTA
131,APODACA,19.67,37.34,0.35,0.32,0.86,29.01,10.96,0,1.49,6155,3147,MC,51.13,CUARENTA
132,APODACA,20.69,43.97,0.13,0.13,0.63,24.1,9.84,0,0.5,2895,1585,MC,54.75,CUARENTA
133,APODACA,21.34,40.09,0.27,0.09,0.54,26.61,9.55,0,1.52,1844,1120,MC,60.74,SESENTA
134,APODACA,14.26,41.76,0.44,0,0.74,28.38,12.79,0,1.62,1310,680,MC,51.91,CUARENTA
135,APODACA,16.72,36.1,0.21,0.21,0.41,34.05,11.08,0,1.23,1875,975,MC,52,CUARENTA
136,APODACA,10.11,31.73,0.47,0.16,0.62,40.28,13.22,0,3.42,1422,643,VFNL,45.22,CUARENTA
137,APODACA,8.59,28.44,0.54,0.36,0.18,37.57,21.47,0,2.86,1307,559,VFNL,42.77,CUARENTA
138,APODACA,12.56,33.07,0.79,0.16,0.64,37.2,12.56,0,3.02,1334,629,VFNL,47.15,CUARENTA
139,APODACA,15.22,36.16,0.46,0,0.69,33.18,13.73,0,0.57,1524,874,MC,57.35,CUARENTA
140,APODACA,15.11,33.62,0,0.17,0.68,35.82,12.39,0,2.21,1057,589,VFNL,55.72,CUARENTA
141,APODACA,16.53,40.9,0.27,0.54,0.72,28.53,11.27,0.03,1.21,7806,3726,MC,47.73,CUARENTA
142,APODACA,15.68,35.26,0.34,0.12,0.77,35.21,11.54,0,1.08,9222,4152,MC,45.02,CUARENTA
143,APODACA,13.02,31.39,0.33,0.17,0.67,36.06,16.86,0,1.5,1478,599,VFNL,40.53,CUARENTA
144,APODACA,16.59,39.14,0.43,0.23,0.58,27.29,14.35,0.03,1.35,7332,3477,MC,47.42,CUARENTA
145,APODACA,15.06,38.97,0.5,0.28,0.45,31.47,11.98,0.06,1.23,3891,1786,MC,45.9,CUARENTA
146,APODACA,14.79,33.08,0.66,0.76,0.57,33.74,14.41,0,1.99,2329,1055,VFNL,45.3,CUARENTA
147,GUADALUPE,9.03,37.17,0.62,0.21,0,28.13,21.36,0,3.49,980,487,MC,49.69,CUARENTA
148,APODACA,19.5,41.8,0.44,0,0.92,23.15,12.61,0.04,1.55,5304,2713,MC,51.15,CUARENTA
150,APODACA,16.33,41.49,0.56,0.1,0.54,27.05,12.59,0,1.33,6565,3900,MC,59.41,CUARENTA
218,CARMEN,23.41,36.65,0.44,0.27,0.99,14.31,22.12,0.03,1.78,9932,3648,MC,36.73,VEINTE
219,CARMEN,25.66,30.15,0.45,0,0.64,13.41,26.88,0,2.82,2783,1559,MC,56.02,CUARENTA
220,CARMEN,21.82,31.69,0.18,0.26,0.66,18.36,25.13,0.02,1.88,15950,5431,MC,34.05,VEINTE
232,CIENEGA DE FLORES,28.69,29.77,0.25,0.15,2.06,11.57,24.97,0,2.54,15291,6016,MC,39.34,VEINTE
233,CIENEGA DE FLORES,32.97,34.38,0.54,0.11,0.86,11.46,18.16,0.11,1.41,1844,925,MC,50.16,CUARENTA
234,CIENEGA DE FLORES,25.45,34,0.4,0,1.59,15.11,21.47,0,1.99,941,503,MC,53.45,CUARENTA
236,CIENEGA DE FLORES,23.55,32.76,0,0,2.05,16.04,24.23,0,1.37,1077,293,MC,27.21,VEINTE
346,GARCIA,15.02,31.3,1.64,0.86,0.98,22.92,22.87,0.05,4.36,16217,4080,MC,25.16,VEINTE
347,GARCIA,18.83,35.88,1.81,0.42,1.1,18.72,20.35,0,2.89,13457,4540,MC,33.74,VEINTE
348,GARCIA,27.04,35.49,0.66,0.53,1.06,19.92,14.38,0,0.92,1409,758,MC,53.8,CUARENTA
349,GARCIA,21.85,33.57,2.84,0.18,1.24,12.43,22.74,0,5.15,1401,563,MC,40.19,CUARENTA
350,GARCIA,27.67,33.59,1.26,0.49,1.55,13.5,20.1,0.19,1.65,2510,1030,MC,41.04,CUARENTA
352,GARCIA,18.97,14.94,2.3,0,1.15,32.76,18.97,0,10.92,293,174,VFNL,59.39,CUARENTA
354,GARCIA,11.28,24.62,5.64,1.03,0.51,27.69,26.15,0,3.08,434,195,VFNL,44.93,CUARENTA
355,GARCIA,22.94,16.49,3.23,0.54,0.36,23.84,27.6,0,5.02,1092,558,JHHNL,51.1,CUARENTA
356,SAN PEDRO GARZA GARCIA,23.29,35.57,0.12,0.12,0.81,26.07,9.73,0.12,4.17,1735,863,MC,49.74,CUARENTA
357,SAN PEDRO GARZA GARCIA,21.29,35.48,0.39,0,0.53,25.62,11.43,0,5.26,1542,761,MC,49.35,CUARENTA
358,SAN PEDRO GARZA GARCIA,25.93,34.87,0.45,0.15,0.89,23.55,9.99,0,4.17,1431,671,MC,46.89,CUARENTA
359,SAN PEDRO GARZA GARCIA,20.93,41.54,0.21,0.26,0.84,21.4,12.34,0.11,2.37,3455,1897,MC,54.91,CUARENTA
360,SAN PEDRO GARZA GARCIA,23.85,41.86,0.24,0.55,1.03,19.59,10.74,0,2.13,2235,1266,MC,56.64,CUARENTA
361,SAN PEDRO GARZA GARCIA,24.95,35.52,0.53,0,0.85,25.05,10.57,0.32,2.22,1927,946,MC,49.09,CUARENTA
362,SAN PEDRO GARZA GARCIA,23.78,43.56,0,0.11,1.11,19.44,10.67,0,1.33,1512,900,MC,59.52,CUARENTA
363,SAN PEDRO GARZA GARCIA,27.25,36.48,0.22,0.11,0.99,20.44,11.98,0,2.53,1594,910,MC,57.09,CUARENTA
364,SAN PEDRO GARZA GARCIA,22.25,38.18,0.17,0.35,0.78,23.55,12.03,0.17,2.51,1643,1155,MC,70.3,SESENTA
365,SAN PEDRO GARZA GARCIA,22.27,41.15,0.4,0.2,0.7,22.07,11.23,0,1.99,1776,1006,MC,56.64,CUARENTA
366,SAN PEDRO GARZA GARCIA,18.43,34.48,0.22,0,0.54,31.03,11.1,0,4.2,2018,928,MC,45.99,CUARENTA
367,SAN PEDRO GARZA GARCIA,21.96,34.36,0.12,0.49,0.98,24.42,12.88,0,4.79,1670,815,MC,48.8,CUARENTA
368,SAN PEDRO GARZA GARCIA,21.69,41.8,0.32,0.11,0.53,22.65,12.06,0,0.85,1586,945,MC,59.58,CUARENTA
369,SAN PEDRO GARZA GARCIA,24.34,36.44,0.14,0,0.7,26.29,7.65,0,4.45,1445,719,MC,49.76,CUARENTA
370,SAN PEDRO GARZA GARCIA,21.95,40.1,0.2,0.2,0.68,27.12,8,0,1.76,1950,1025,MC,52.56,CUARENTA
371,SAN PEDRO GARZA GARCIA,18.29,45.79,0.22,0.22,0.29,27.07,6.24,0.07,1.81,2101,1378,MC,65.59,SESENTA
372,SAN PEDRO GARZA GARCIA,21.74,42.6,0.11,0.55,1.21,25.28,7.95,0,0.55,1534,906,MC,59.06,CUARENTA
373,SAN PEDRO GARZA GARCIA,18.81,39.84,0.62,0.27,1.25,28.16,9.63,0.18,1.25,1952,1122,MC,57.48,CUARENTA
374,SAN PEDRO GARZA GARCIA,18.03,42.3,0.09,0.27,1.09,28.35,7.25,0,2.63,1895,1104,MC,58.26,CUARENTA
375,SAN PEDRO GARZA GARCIA,19.91,40.15,0,0.11,0.11,27.48,10.01,0,2.24,1601,939,MC,58.65,CUARENTA
376,SAN PEDRO GARZA GARCIA,22.22,42.93,0.17,0.17,0.67,23.23,7.74,0.17,2.69,958,594,MC,62,SESENTA
377,SAN PEDRO GARZA GARCIA,21.04,45.79,0,0.25,0.25,25.99,6.31,0,0.37,1309,808,MC,61.73,SESENTA
378,SAN PEDRO GARZA GARCIA,14.56,51.75,0,0.11,0.32,27.84,4.46,0,0.96,1368,941,MC,68.79,SESENTA
379,SAN PEDRO GARZA GARCIA,13.04,44.41,0.57,0.29,0.86,34.1,4.87,0.43,1.43,945,698,MC,73.86,SESENTA
380,SAN PEDRO GARZA GARCIA,13.35,46.59,0.08,0.15,0.53,33.91,4.43,0,0.98,1849,1333,MC,72.09,SESENTA
381,SAN PEDRO GARZA GARCIA,11.74,52.05,0.59,0,0,31.51,3.52,0,0.59,783,511,MC,65.26,SESENTA
382,SAN PEDRO GARZA GARCIA,6.59,58.24,0.16,0,0.16,32.37,1.65,0.16,0.66,1563,1214,MC,77.67,SESENTA
383,SAN PEDRO GARZA GARCIA,10.21,54.1,0.63,0,0.13,30.9,3.28,0,0.76,1043,793,MC,76.03,SESENTA
384,SAN PEDRO GARZA GARCIA,6.95,49.3,0,0,0.19,40.22,2.5,0.09,0.74,1377,1079,MC,78.36,SESENTA
385,SAN PEDRO GARZA GARCIA,8.21,53.57,0.29,0,0.29,35.39,1.76,0.1,0.39,1355,1023,MC,75.5,SESENTA
386,SAN PEDRO GARZA GARCIA,7.37,52.48,0,0,0.32,35.74,3.12,0.08,0.88,1643,1248,MC,75.96,SESENTA
387,SAN PEDRO GARZA GARCIA,6.55,55.47,0.07,0,0.29,34.89,1.87,0.22,0.65,1800,1390,MC,77.22,SESENTA
388,SAN PEDRO GARZA GARCIA,14.54,45.97,0,0.05,0.57,31.95,5.9,0,1.04,3358,2119,MC,63.1,SESENTA
389,SAN PEDRO GARZA GARCIA,4.74,60.47,0.22,0.02,0.25,32.42,1.68,0.07,0.12,5046,4050,MC,80.26,OCHENTA
390,SAN PEDRO GARZA GARCIA,6.81,53.87,0.03,0.08,0.24,36.28,2.06,0.03,0.61,4829,3746,MC,77.57,SESENTA
391,SAN PEDRO GARZA GARCIA,6.06,55.62,0.07,0.07,0.07,34.79,2.52,0,0.82,1832,1469,MC,80.19,OCHENTA
392,SAN PEDRO GARZA GARCIA,8.89,53.43,0.19,0,0.09,34.35,2.22,0.09,0.74,1439,1080,MC,75.05,SESENTA
393,SAN PEDRO GARZA GARCIA,8.46,56.35,0,0,0.6,31.32,2.66,0,0.6,1121,827,MC,73.77,SESENTA
394,SAN PEDRO GARZA GARCIA,6.82,56.36,0,0,0.26,32.63,3.01,0.13,0.79,1011,763,MC,75.47,SESENTA
395,SAN PEDRO GARZA GARCIA,11.6,49.4,0.2,0,0.4,35.2,2.6,0,0.6,745,500,MC,67.11,SESENTA
396,SAN PEDRO GARZA GARCIA,8.44,49.55,0.18,0,0.18,38.06,2.87,0,0.72,711,557,MC,78.34,SESENTA
397,SAN PEDRO GARZA GARCIA,8.52,58.22,0.1,0,0,30.93,1.83,0.2,0.2,1284,986,MC,76.79,SESENTA
398,SAN PEDRO GARZA GARCIA,5.87,55.82,0.09,0,0.28,33.83,3.17,0.09,0.84,1367,1073,MC,78.49,SESENTA
399,SAN PEDRO GARZA GARCIA,9.26,58.26,0.23,0,0.12,29.54,2.23,0,0.35,1096,853,MC,77.83,SESENTA
400,SAN PEDRO GARZA GARCIA,6.62,56.26,0.14,0.43,0.29,31.65,3.6,0,1.01,921,695,MC,75.46,SESENTA
401,SAN PEDRO GARZA GARCIA,13.72,50.59,0.18,0.09,0.27,29.73,4.57,0,0.82,1619,1093,MC,67.51,SESENTA
402,SAN PEDRO GARZA GARCIA,7.31,59.49,0.18,0,0,30.78,1.79,0.04,0.4,2713,2229,MC,82.16,OCHENTA
403,SAN PEDRO GARZA GARCIA,8.22,57.07,0.37,0.07,0.3,31.01,2,0,0.96,1794,1351,MC,75.31,SESENTA
404,SAN PEDRO GARZA GARCIA,6.93,56.45,0.14,0,0.54,34.24,1.15,0.07,0.48,1861,1472,MC,79.1,SESENTA
405,SAN PEDRO GARZA GARCIA,8.32,55.22,0,0,0.26,31.31,3.96,0.26,0.66,974,757,MC,77.72,SESENTA
406,SAN PEDRO GARZA GARCIA,16.03,45.53,0,0.12,0.46,31.36,5.57,0,0.93,1270,861,MC,67.8,SESENTA
407,SAN PEDRO GARZA GARCIA,11.78,50.36,0.1,0,0.52,33.99,2.61,0,0.63,1342,959,MC,71.46,SESENTA
408,SAN PEDRO GARZA GARCIA,10.53,52.31,0.07,0,0.14,33.04,3.65,0,0.28,1467,1453,MC,99.05,OCHENTA
409,SAN PEDRO GARZA GARCIA,8.34,56.47,0.21,0,0.42,32.69,1.56,0,0.31,2388,1918,MC,80.32,OCHENTA
410,SAN PEDRO GARZA GARCIA,6.75,56.24,0.14,0.1,0.14,33.93,2.12,0.05,0.53,2653,2075,MC,78.21,SESENTA
411,SAN PEDRO GARZA GARCIA,7.11,57.95,0.1,0.05,0.05,32.53,1.53,0.1,0.56,2409,1955,MC,81.15,OCHENTA
412,SAN PEDRO GARZA GARCIA,9,53.38,0.31,0,0,34.92,1.69,0.38,0.31,1596,1300,MC,81.45,OCHENTA
413,SAN PEDRO GARZA GARCIA,11.96,51.78,0.09,0.18,0.27,28.49,6.39,0,0.82,1865,1095,MC,58.71,CUARENTA
414,SAN PEDRO GARZA GARCIA,11.99,55.58,0.12,0,0.24,28.08,3.06,0,0.94,1270,851,MC,67.01,SESENTA
415,SAN PEDRO GARZA GARCIA,9.58,54.1,0.5,0,0.25,32.34,2.36,0,0.87,1053,804,MC,76.35,SESENTA
416,SAN PEDRO GARZA GARCIA,6.93,58.41,0.1,0,0.25,31.56,2.41,0.05,0.29,2560,2034,MC,79.45,SESENTA
417,SAN PEDRO GARZA GARCIA,6.41,56.63,0.36,0,0.09,33.21,2.67,0.09,0.53,1463,1123,MC,76.76,SESENTA
430,GRAL. ESCOBEDO,8.45,25.6,0.13,0.13,0.67,40.21,21.31,0,3.49,2851,746,VFNL,26.17,VEINTE
431,GRAL. ESCOBEDO,14.57,29.55,0.13,0.53,0.53,29.01,22.33,0,3.34,1927,748,MC,38.82,VEINTE
432,GRAL. ESCOBEDO,10.01,28.2,0.43,0.54,0.54,30.79,26.16,0,3.34,2754,929,VFNL,33.73,VEINTE
433,GRAL. ESCOBEDO,11.4,32.76,0.38,0.46,0.74,25.01,26.62,0,2.62,12387,3666,MC,29.6,VEINTE
434,GRAL. ESCOBEDO,10.92,37.28,0.53,0.13,0.27,22.1,26.23,0.27,2.26,2126,751,MC,35.32,VEINTE
435,GRAL. ESCOBEDO,14.29,31.17,0.56,0.56,0.19,20.41,30.8,0,2.04,1688,539,MC,31.93,VEINTE
436,GRAL. ESCOBEDO,9.62,26.32,0.18,0.91,1.45,30.67,27.59,0,3.27,1627,551,VFNL,33.87,VEINTE
437,GRAL. ESCOBEDO,14.26,30.12,0.2,0.2,1.2,28.92,21.08,0,4.02,1837,498,MC,27.11,VEINTE
438,GRAL. ESCOBEDO,15.11,29.38,0.85,0.42,0,24.58,26.13,0,3.53,2317,708,MC,30.56,VEINTE
440,GRAL. ESCOBEDO,17.4,43.64,0.24,0.32,0.63,15.31,21.1,0.1,1.27,8088,4109,MC,50.8,CUARENTA
442,GRAL. ESCOBEDO,21.17,41.2,0.38,0.32,0.89,16.45,18.62,0,0.96,3012,1568,MC,52.06,CUARENTA
443,GRAL. ESCOBEDO,13.43,33.78,0.52,0.21,0.72,22.99,25,0.05,3.31,5884,1936,MC,32.9,VEINTE
444,GRAL. ESCOBEDO,18.65,41.78,0.37,0.47,0.68,14.77,21.12,0.05,2.1,3941,1903,MC,48.29,CUARENTA
445,GRAL. ESCOBEDO,17.77,42.04,0.29,0.1,0.97,16.7,19.81,0,2.33,1972,1030,MC,52.23,CUARENTA
446,GRAL. ESCOBEDO,18.41,38.7,0.21,0,0.42,18.2,23.01,0,1.05,1068,478,MC,44.76,CUARENTA
447,GRAL. ESCOBEDO,20.15,42.78,0.26,0.17,0.56,16.37,18.69,0,1.03,4435,2333,MC,52.6,CUARENTA
448,GRAL. ESCOBEDO,15.69,46.43,0.36,0.5,0.45,12.97,21.93,0.45,1.22,4878,2212,MC,45.35,CUARENTA
449,GRAL. ESCOBEDO,19.77,40.43,0.4,0.4,0.98,13.33,23.55,0.09,1.07,4283,2251,MC,52.56,CUARENTA
