distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MOVIMIENTO_CIUDADANO,RSP,MORENA,PES,FM,PAN_PRI_PRD,PAN_PRD,PAN_PRI,PRI_PRD,PT_MORENA_PVEM,PT_MORENA,PT_PVEM,PVEM_MORENA,CAND_IND_01,CAND_IND_02,CNR,VN,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,URBANA,RURAL,VPM,JHH
101,1,1,53135,35351,6173,8383,6061,3315,7436,44521,3530,3530,636,363,140,44,718,393,60,238,0,0,148,7600,178245,306488,162,329,0,1
102,2,1,49027,31505,3592,7016,4948,4292,5715,50904,5175,5175,546,179,113,48,1021,421,65,308,0,0,149,6284,171308,304756,451,75,0,1
103,3,1,78530,37746,2673,8957,4949,4172,5406,48844,4746,4746,684,207,161,23,934,397,53,261,0,0,247,7958,206948,332204,486,105,0,1
201,1,2,38851,12581,2390,7063,6291,4460,4354,84899,5079,5079,663,166,197,43,2299,978,105,659,0,0,137,5417,176632,334181,456,111,0,1
202,2,2,43336,19049,2296,6828,5829,5419,3266,80054,5152,5152,889,238,284,51,2425,868,137,635,0,0,188,5308,182252,336298,571,30,0,1
203,3,2,32479,23027,4996,8955,11533,4764,7010,73784,3974,3974,674,257,149,56,2414,1458,117,535,0,0,277,6435,182894,330058,457,123,0,1
204,4,2,22381,9849,2468,4621,8664,4305,3438,108187,4874,4874,386,146,118,50,2528,1163,92,593,0,0,104,4206,178173,344424,525,102,0,1
205,5,2,42819,17018,2550,6096,6889,4774,3390,91603,5123,5123,666,185,177,39,2062,950,122,565,0,0,193,5238,190459,355396,600,0,0,0
206,6,2,33737,16979,2354,5981,6489,4424,3440,87083,5867,5867,541,162,159,27,2251,925,104,654,0,0,148,5751,177076,338791,569,40,0,1
207,7,2,29750,17943,2903,5202,8076,4484,3579,81012,5320,5320,565,171,184,42,2311,1006,123,657,0,0,137,5104,168569,344373,384,177,0,1
208,8,2,22881,13754,2808,4914,8455,5081,3135,100416,6658,6658,551,133,195,59,2580,1003,137,821,0,0,127,4461,178169,348046,554,39,0,1
301,1,3,45643,18004,1891,5903,4539,3548,8879,69958,4080,4080,453,277,133,22,1349,544,100,1164,0,0,127,6640,173254,277795,415,143,0,1
302,2,3,28875,6937,1887,7467,15755,2466,2338,51397,2092,2092,304,195,84,21,906,970,74,397,0,0,94,4454,126713,238351,262,172,0,1
401,1,4,36148,68578,5340,5659,9042,5107,5811,79876,6110,6110,342,265,670,71,1322,735,88,421,0,0,64,7532,237767,321907,376,219,1,1
402,2,4,28618,47809,4557,2976,7522,3649,3351,94417,2921,2921,362,191,249,56,1602,903,109,495,0,0,66,7781,211533,320149,348,221,1,1
501,1,5,53969,52786,7201,2858,4017,11841,2194,39960,1619,1619,587,282,525,128,588,317,35,190,0,0,44,4287,184632,316626,455,100,1,1
502,2,5,37191,59889,3395,3834,5388,6360,2649,63033,2191,2191,264,114,352,45,917,443,70,326,0,0,32,5245,192812,299448,311,260,1,1
503,3,5,51266,53256,4687,3235,5313,4397,2944,63909,2173,2173,286,122,275,28,483,344,24,153,0,0,69,5653,199468,313766,477,75,1,1
504,4,5,54752,61654,2194,4785,4807,2947,3490,51910,3445,3445,538,140,161,21,952,355,38,251,0,0,109,5183,199379,316909,488,36,1,1
505,5,5,71319,53069,1687,3528,3372,2621,2341,60812,1942,1942,626,190,235,19,884,366,45,270,0,0,68,3551,208512,302651,543,0,1,1
506,6,5,35974,57523,1677,3397,4255,2077,2504,71639,2170,2170,272,111,114,10,889,384,35,321,0,0,30,3072,187471,290378,264,214,1,1
507,7,5,36180,63475,2563,6350,5892,3264,3198,58219,3542,3542,274,120,117,15,1119,477,37,257,0,0,79,5772,192704,314320,458,105,1,1
601,1,6,32026,41731,5197,4335,6282,14072,7973,56193,2510,2510,527,393,232,53,1365,541,52,264,0,0,122,6065,181720,277346,348,162,1,1
602,2,6,18513,23250,2068,12067,7819,4484,2703,66806,2919,2919,253,317,63,42,2822,843,106,401,0,0,86,5565,153211,253374,245,205,1,1
701,1,7,4089,14469,3304,34261,10724,5652,4985,74835,4054,4054,97,63,41,67,1673,693,187,546,0,0,44,18573,179502,238926,96,347,1,1
702,2,7,5786,39338,10043,35243,8421,4350,3654,48313,2816,2816,58,47,18,30,618,262,39,210,0,0,38,16849,176782,228391,87,376,1,1
703,3,7,2883,16095,1899,37973,6491,5469,8468,59640,2196,2196,125,65,37,39,1227,454,90,258,0,0,69,12309,156673,235285,86,357,1,1
704,4,7,9917,22621,3822,28946,7187,6016,4583,83187,3600,3600,196,110,110,52,1258,445,83,395,0,0,71,16175,189920,248252,149,341,1,1
705,5,7,6424,43090,6135,17567,8288,4151,3102,87813,4084,4084,228,75,29,40,1793,660,95,490,0,0,117,13983,198838,276588,218,280,1,1
706,6,7,9784,15434,8513,18310,9539,9191,2926,104167,5083,5083,311,94,75,60,2707,891,141,655,0,0,194,14272,203159,308774,281,217,1,1
707,7,7,7882,21681,2861,28684,7604,4007,7566,81424,3822,3822,138,74,48,27,1257,577,122,481,0,0,29,11988,181417,276627,146,369,1,1
708,8,7,4560,32385,4646,33921,10007,5899,7013,77323,3843,3843,152,57,51,67,1872,948,134,550,0,0,116,20015,204767,299780,174,335,1,1
709,9,7,15302,10078,2222,5390,7973,4733,4506,121086,5805,5805,519,136,85,45,3604,1266,142,813,0,0,392,10283,195258,313545,531,0,1,1
710,10,7,3572,26531,2161,41722,7182,3908,9863,69186,3307,3307,102,43,29,38,1214,537,122,446,3452,0,68,15633,191154,276115,129,363,1,1
711,11,7,2116,22580,23485,43531,6136,2725,2318,36901,2275,2275,82,129,29,69,946,305,64,226,0,0,25,17514,162199,226447,71,369,1,1
