ID_ESTADO,NOMBRE_ESTADO,CANDIDATO,PARTIDO,VOTOS_X_CANDIDATO,TOTAL_VOTOS,PORCENTAJE,ACTAS_CAPTURADAS,PARTICIPACION,GANADOR
4,CAMPECHE,SANDRA GUADALUPE SANCHEZ DIAZ,PVEM,"2,922","372,484",0.0078,91.76%,63.26%,PT_MORENA
4,CAMPECHE,ELISEO FERNANDEZ MONTUFAR,MC,"117,522","372,484",0.3155,91.76%,63.26%,PT_MORENA
4,CAMPECHE,NIC-THE-HA AGUILERA SILVA,PES,"2,597","372,484",0.0070,91.76%,63.26%,PT_MORENA
4,CAMPECHE,MARIA MAGDALENA COCOM ARBEZ,RSP,"2,137","372,484",0.0057,91.76%,63.26%,PT_MORENA
4,CAMPECHE,LUIS ALONSO GARCIA HERNANDEZ,FXM,"1,114","372,484",0.0030,91.76%,63.26%,PT_MORENA
4,CAMPECHE,CHRISTIAN MISHEL CASTRO BELLO,PAN_PRI_PRD,"114,824","372,484",0.3083,91.76%,63.26%,PT_MORENA
4,CAMPECHE,LAYDA ELENA SANSORES SAN ROMAN,PT_MORENA,"123,741","372,484",0.3322,91.76%,63.26%,PT_MORENA
6,COLIMA,Mely Romero Celis,PAN_PRI_PRD,78317,284537,0.2752,100.00%,51.15%,MORENA_PANAL
6,COLIMA,Aurora Ileana Cruz Alcaraz,PT,4745,284537,0.0167,100.00%,51.15%,MORENA_PANAL
6,COLIMA,Virgilio Mendoza Amezcua,PVEM,36936,284537,0.1298,100.00%,51.15%,MORENA_PANAL
6,COLIMA,Leoncio Alfonso Morán Sánchez,MC,54262,284537,0.1907,100.00%,51.15%,MORENA_PANAL
6,COLIMA,Indira Vizcaíno Silva,MORENA_PANAL,93690,284537,0.3293,100.00%,51.15%,MORENA_PANAL
6,COLIMA,Evangelina Bañuelos Rodríguez,RSP,2782,284537,0.0098,100.00%,51.15%,MORENA_PANAL
6,COLIMA,Claudia Valeria Yáñez Centeno y Cabrera,FXM,6802,284537,0.0239,100.00%,51.15%,MORENA_PANAL
19,NUEVO LEON,Fernando Alejandro Larrazabal Breton,PAN,"348,744","1,908,898",0.1827,100.00%,50.92%,MC
19,NUEVO LEON,Samuel Alejandro García Sepúlveda,MC,"700,352","1,908,898",0.3669,100.00%,50.92%,MC
19,NUEVO LEON,Carolina Maria Garza Guerra,PES,"6,253","1,908,898",0.0033,100.00%,50.92%,MC
19,NUEVO LEON,Virginia Daney Siller Tristan,RSP,"5,799","1,908,898",0.0030,100.00%,50.92%,MC
19,NUEVO LEON,Emilio Jacques Rivera,FXM,"12,202","1,908,898",0.0064,100.00%,50.92%,MC
19,NUEVO LEON,Adrian Emilio De La Garza Santos,PRI_PRD,"533,852","1,908,898",0.2797,100.00%,50.92%,MC
19,NUEVO LEON,Clara Luz Flores Carrales,MORENA_PT_PVEM_PANAL,"267,735","1,908,898",0.1403,100.00%,50.92%,MC
22,QUERETARO,MAURICIO KURI GONZALEZ,PAN_IND,"457,017","842,302",0.5426,100.00%,52.28%,PAN_IND
22,QUERETARO,ABIGAIL ARREDONDO RAMOS,PRI,"98,096","842,302",0.1165,100.00%,52.28%,PAN_IND
22,QUERETARO,RAQUEL RUIZ DE SANTIAGO ALVAREZ,PRD,"6,011","842,302",0.0071,100.00%,52.28%,PAN_IND
22,QUERETARO,BEATRIZ MAGDALENA LEON SOTELO,MC,"13,832","842,302",0.0164,100.00%,52.28%,PAN_IND
22,QUERETARO,KATIA RESENDIZ JAIME,PVEM,"20,069","842,302",0.0238,100.00%,52.28%,PAN_IND
22,QUERETARO,CELIA MAYA GARCIA,MORENA,"201,357","842,302",0.2391,100.00%,52.28%,PAN_IND
22,QUERETARO,PENELOPE RAMIREZ MANRIQUEZ,PT,"4,445","842,302",0.0053,100.00%,52.28%,PAN_IND
22,QUERETARO,MA. DE JESUS IBARRA SILVA,PES,"4,893","842,302",0.0058,100.00%,52.28%,PAN_IND
22,QUERETARO,MIGUEL NAVA ALVARADO,RSP,"7,976","842,302",0.0095,100.00%,52.28%,PAN_IND
22,QUERETARO,JUAN CARLOS MARTINEZ CECIAS RODRIGUEZ,FXM,"8,125","842,302",0.0096,100.00%,52.28%,PAN_IND
3,BAJA CALIFORNIA SUR,FRANCISCO PELAYO COVARRUBIAS,PAN_PRI_PRD_PRS_HUMANISTA,106077,272104,0.4001,100.00%,49.81%,PT_MORENA
3,BAJA CALIFORNIA SUR,JESUS ARMIDA CASTRO GUZMAN,PVEM,8187,272104,0.0309,100.00%,49.81%,PT_MORENA
3,BAJA CALIFORNIA SUR,ANDREA MARCELA GEIGER VILLALPANDO,MC,5767,272104,0.0218,100.00%,49.81%,PT_MORENA
3,BAJA CALIFORNIA SUR,ALEJANDRO JAVIER LAGE SUAREZ,BCS_COHERENTE,2327,272104,0.0088,100.00%,49.81%,PT_MORENA
3,BAJA CALIFORNIA SUR,GABRIEL ANDRADE LEYVA,PANAL,4307,272104,0.0162,100.00%,49.81%,PT_MORENA
3,BAJA CALIFORNIA SUR,ADONAI CARREON ESTRADA,PES,3213,272104,0.0121,100.00%,49.81%,PT_MORENA
3,BAJA CALIFORNIA SUR,MANUEL DERSDEPANIAN SKOTINOPULOS,RSP,2295,272104,0.0087,100.00%,49.81%,PT_MORENA
3,BAJA CALIFORNIA SUR,ELIZABETH GUADALUPE WAYAS BARROSO,FMX,6595,272104,0.0249,100.00%,49.81%,PT_MORENA
3,BAJA CALIFORNIA SUR,RAMON ALEJO PARRA OJEDA,INDEPENDIENTE,2678,272104,0.0101,100.00%,49.81%,PT_MORENA
3,BAJA CALIFORNIA SUR,VICTOR MANUEL CASTRO COSIO,PT_MORENA,123683,272104,0.4665,100.00%,49.81%,PT_MORENA
16,MICHOACAN,JUAN ANTONIO MAGAÑA DE LA MORA,PVEM,"89,879","1,574,342",0.0571,98.87%,49.19%,MORENA
16,MICHOACAN,MERCEDES CALDERÓN GARCÍA,MC,"60,259","1,574,342",0.0382,98.87%,49.19%,MORENA
16,MICHOACAN,HIPÓLITO MORA CHÁVEZ,PES,"49,341","1,574,342",0.0313,98.87%,49.19%,MORENA
16,MICHOACAN,SIN CANDIDATURA,RSP,"14,960","1,574,342",0.0095,98.87%,49.19%,MORENA
16,MICHOACAN,CRISTÓBAL ARIAS SOLÍS,FXM,"34,327","1,574,342",0.0218,98.87%,49.19%,MORENA
16,MICHOACAN,ALFREDO RAMÍREZ BEDOLLA,MORENA,"654,837","1,574,342",0.4159,98.87%,49.19%,MORENA
16,MICHOACAN,CARLOS HERRERA TELLO,PAN_PRI_PRD,"614,576","1,574,342",0.3904,98.87%,49.19%,MORENA
18,NAYARIT,IGNACIO FLORES MEDINA,MC,85692,418518,0.2048,95.79%,52.82%,MORENA_PT_PVEM_PANAL
18,NAYARIT,VÍCTOR MANUEL CHÁVEZ VÁZQUEZ,VIVA_NAYARIT,4083,418518,0.0098,95.79%,52.82%,MORENA_PT_PVEM_PANAL
18,NAYARIT,ÁGUEDA GALICIA JIMÉNEZ,LEVANTATE_POR_NAYARIT,18366,418518,0.0439,95.79%,52.82%,MORENA_PT_PVEM_PANAL
18,NAYARIT,NATALIA ROJAS IÑIGUEZ,PES,3701,418518,0.0088,95.79%,52.82%,MORENA_PT_PVEM_PANAL
18,NAYARIT,NAYAR MAYORQUIN CARRILLO,RSP,12974,418518,0.0310,95.79%,52.82%,MORENA_PT_PVEM_PANAL
18,NAYARIT,BRICET GABRIELA TAIZAN LÓPEZ,FXM,3400,418518,0.0081,95.79%,52.82%,MORENA_PT_PVEM_PANAL
18,NAYARIT,GLORIA ELIZABETH NÚÑEZ SÁNCHEZ,PAN_PRI_PRD,72840,418518,0.1739,95.79%,52.82%,MORENA_PT_PVEM_PANAL
18,NAYARIT,MIGUEL ÁNGEL NAVARRO QUINTERO,MORENA_PT_PVEM_PANAL,206198,418518,0.4927,95.79%,52.82%,MORENA_PT_PVEM_PANAL
25,SINALOA,GLORIA GONZALEZ BURBOA,PT,14681,877542,0.0167,80.57%,49.51%,MORENA_PAS
25,SINALOA,MISAEL SANCHEZ SANCHEZ,PVEM,8111,877542,0.0092,80.57%,49.51%,MORENA_PAS
25,SINALOA,SERGIO TORRES FELIX,MC,24682,877542,0.0281,80.57%,49.51%,MORENA_PAS
25,SINALOA,RICARDO ARNULFO MENDOZA SAUCEDA,PES,9113,877542,0.0104,80.57%,49.51%,MORENA_PAS
25,SINALOA,YOLANDA YADIRA CABRERA PERAZA,RSP,6524,877542,0.0074,80.57%,49.51%,MORENA_PAS
25,SINALOA,ROSA ELENA MILLÁN BUENO,FXM,9851,877542,0.0112,80.57%,49.51%,MORENA_PAS
25,SINALOA,MARIO ZAMORA GASTELUM,PAN_PRI_PRD,286289,877542,0.3262,80.57%,49.51%,MORENA_PAS
25,SINALOA,RUBEN ROCHA MOYA,MORENA_PAS,496787,877542,0.5661,80.57%,49.51%,MORENA_PAS
26,SONORA,JESUS MANUEL SCOTT SANCHEZ,MC,38678,814690,0.0476,100.00%,44.10%,MORENA_PT_PVEM_PANAL
26,SONORA,Carlos Ernesto Zatarain González,PES,15736,814690,0.0193,100.00%,44.10%,MORENA_PT_PVEM_PANAL
26,SONORA,Rosario Fátima Robles Robles,FXM,15663,814690,0.0192,100.00%,44.10%,MORENA_PT_PVEM_PANAL
26,SONORA,David Cuauhtémoc Galindo Delgado,RSP,9694,814690,0.0119,100.00%,44.10%,MORENA_PT_PVEM_PANAL
26,SONORA,Ernesto Gándara,PAN_PRI_PRD,290743,814690,0.3569,100.00%,44.10%,MORENA_PT_PVEM_PANAL
26,SONORA,Alfonso Durazo,MORENA_PT_PVEM_PANAL,419662,814690,0.5151,100.00%,44.10%,MORENA_PT_PVEM_PANAL
32,ZACATECAS,Ana Maria Romo Fonseca,MC,"18,843","643,904",0.0293,99.92%,57.05%,MORENA_PT_PVEM_PANAL
32,ZACATECAS,Flavio Campos Miramontes,PAZ,"11,082","643,904",0.0172,99.92%,57.05%,MORENA_PT_PVEM_PANAL
32,ZACATECAS,Bibiana Lizardo,PD,"1,999","643,904",0.0031,99.92%,57.05%,MORENA_PT_PVEM_PANAL
32,ZACATECAS,Javier Valadez Becerra,PARTIDO_DEL_PUEBLO,5557,"643,904",0.0086,99.92%,57.05%,MORENA_PT_PVEM_PANAL
