ID_ESTADO,NOMBRE_ESTADO,PAN,PRI,PRD,PVEM,PT,MC,PANAL,MORENA,PES,FXM,RSP,PAN_PRD,PT_MORENA,PRI_PRD,MORENA_PT_PVEM,PAN_PRI_PRD,PARTIDO_BAJA_CALIFORNIA,PAN_PRI_PRD_PRS_HUMANISTA,BCS_COHERENTE,MORENA_PT_PVEM_PANAL,MORENA_PT_PANAL,FUERZA_SOCIAL_POR_MEXICO,MORENA_PANAL,LEVANTATE_POR_NAYARIT,VIVA_NAYARIT,CI1,PAN_PRI_PRD_PARTIDO CONCIENCIA POPULAR,PVEM_PT,MORENA_PARTIDO SINALOENSE,MORENA_PT_PVEM_PANAL_PES,PRI_PAN_PRD_PAC,IMPACTO_SOCIAL_SI,PAZ,PARTIDO_DEL_PUEBLO
2,BAJA CALIFORNIA,0,0,0,0,0,Alejandro Mungaray Lagarda,0,0,Jorge Hank Rhon,Jorge Ojeda García,Victoria Bentley Duarte,0,0,0,Marina del Pilar,Lupita Jones,Carlos Atilano Peña,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BAJA CALIFORNIA SUR,0,0,0,Jesús Armida Castro Guzmán,0,Andrea Marcela Geiger Villalpando,Gabriel Andrade Leyva,0,Adonai Carreón Estrada,María Rosalía Fort Rodríguez,0,0,Víctor Manuel Castro Cosío,0,0,0,0,Francisco Pelayo Covarrubias,Alejandro Lage Suárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CAMPECHE,0,0,0,Sandra Sánchez,0,Eliseo Fernández,0,0,Nicté-Ha Aguilera,Luis García Hernández,María Magdalena Cocom,0,Layda Sansores,0,0,Christian Castro Bello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,COLIMA,0,0,0,Virgilio Mendoza Amezcua,Aurora Cruz Alcaraz,Leoncio Morán Sánchez,0,0,0,Claudia Yáñez Centeno y Cabrera,Evangelina Bañuelos Rodríguez,0,0,0,0,Mely Romero Celis,0,0,0,0,0,0,Indira Vizcaíno Silva,0,0,0,0,0,0,0,0,0,0,0
8,CHIHUAHUA,0,Graciela Ortiz González,0,Brenda Ríos Prieto,0,Alfredo Lozoya,0,0,Luis Carlos Arrieta Lavenant,0,María Eugenia Baeza García,María Eugenia Campos Galván,0,0,0,0,0,0,0,0,Juan Carlos Loera de la Rosa,Alejandro Díaz Villalobos,0,0,0,0,0,0,0,0,0,0,0,0
12,GUERRERO,Irma Lilia Garzón Bernal,0,0,0,0,Ruth Zavaleta Salgado,0,Evelyn Cecia Salgado Pineda,Dolores Huerta Valdovinos,Manuel Negrete Arias,Ambrosio Guzmán Juárez,0,0,Mario Moreno Arcos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,MICHOACAN,0,0,0,Juan Antonio Magaña,0,Mercedes Calderón,0,Alfredo Ramírez Bedolla,Hipólito Mora,Cristóbal Arias,Abraham Sánchez Martínez,0,0,0,0,Carlos Herrera Tello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,NAYARIT,0,0,0,0,0,Ignacio Flores Medina,0,0,Natalia Rojas Iñiguez,Bricet Gabriela Taizan López,Nayar Mayorquín Carrillo,0,0,0,0,Gloria Elizabeth Núñez Sánchez,0,0,0,Miguel Ángel Navarro Quintero,0,0,0,Águeda Galicia Jiménez,Vífctor Manuel Chávez Vázquez,0,0,0,0,0,0,0,0,0
19,NUEVO LEON,Fernando Larrazabal,0,0,0,0,Samuel García,0,0,Carolina Garza,Emilio Jaques Rivera,Daney Siller,0,0,Adrían de la Garza Santos,0,0,0,0,0,Clara Luz Flores,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,QUERETARO,Mauricio Kuri,Abigail Arredondo Ramos,Raquel Ruíz de Santiago,Katia Reséndiz,Penélope Ramírez Manrique,Beatriz León Sotelo,0,Celia Maya,María de Jesús Ibarra Silva,Juan Carlos Martínez,Miguel Nava Alvarado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,SAN LUIS POTOSI,0,0,0,0,0,Marvelly Costanzo Rangel,Francisco Javier Rico Ávalos,Mónica Rangel,Adrián Esper Cárdenas,Juan Carlos Machinena Morales,José Luis Romero Calzada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arturo Segoviano García,Octavio Pedroza Gaitán,Ricardo Gallardo Cardona,0,0,0,0,0,0
25,SINALOA,0,0,0,Tomás Saucedo Carreño,Gloria González Burboa,Sergio Torres Félix,0,0,Ricardo Arnulfo Mendoza,Rosa Elena Millán Bueno,Yolanda Yadira Cabrera,0,0,0,0,Mario Zamora Gastélum,0,0,0,0,0,0,0,0,0,0,0,0,Rubén Rocha Moya,0,0,0,0,0
26,SONORA,0,0,0,0,0,Ricardo Robinson Bours Castelo,0,0,Carlos Ernesto Zatarain González,Rosario Fátima Robles Robles,David Cuauhtémoc Galindo Delgado,0,0,0,0,Ernesto Gándara,0,0,0,Alfonso Durazo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,TLAXCALA,0,0,0,0,0,Eréndira Jiménez Montiel,0,0,Liliaqna Becerril Rojas,Viviana Barbosa Bonola,Juan Carlos Sánchez García,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lorena Cuéllar Cisneros,Anabell Ávalos Zempoalteca,Evangelina Paredes Zamora,0,0
32,ZACATECAS,0,0,0,0,0,Ana María Romo Fonseca,0,0,Guadalupe Medina Padilla,Miriam García Zamora,Fernanda Salomé Perera Trejo,0,0,0,0,Claudia Anaya Mota,0,0,0,David Monreal Ávila,0,0,0,0,0,0,0,0,0,0,0,0,Flavio Campos Miramontes,Javier Valadez Becerra
