"ESTADO","SEMANA2","FECHA_DOMINGO","CONFIRMADOS","DECESOS"
"01","'01-2021","2021-01-03",1318,139
"01","'02-2021","2021-01-10",964,95
"01","'03-2021","2021-01-17",1010,97
"01","'04-2021","2021-01-24",633,72
"01","'05-2021","2021-01-31",529,46
"01","'06-2021","2021-02-07",415,46
"01","'07-2021","2021-02-14",413,25
"01","'08-2021","2021-02-21",413,30
"01","'09-2021","2021-02-28",407,30
"01","'10-2020","2020-03-01",1,0
"01","'10-2021","2021-03-07",307,15
"01","'11-2020","2020-03-08",4,0
"01","'11-2021","2021-03-14",323,16
"01","'12-2020","2020-03-15",18,0
"01","'12-2021","2021-03-21",244,30
"01","'13-2020","2020-03-22",34,1
"01","'13-2021","2021-03-28",248,32
"01","'14-2020","2020-03-29",11,2
"01","'14-2021","2021-04-04",251,21
"01","'15-2020","2020-04-05",31,2
"01","'15-2021","2021-04-11",207,14
"01","'16-2020","2020-04-12",77,6
"01","'16-2021","2021-04-18",183,16
"01","'17-2020","2020-04-19",87,3
"01","'17-2021","2021-04-25",149,16
"01","'18-2020","2020-04-26",130,5
"01","'18-2021","2021-05-02",123,8
"01","'19-2020","2020-05-03",111,13
"01","'19-2021","2021-05-09",101,6
"01","'20-2020","2020-05-10",142,9
"01","'20-2021","2021-05-16",77,3
"01","'21-2020","2020-05-17",198,23
"01","'21-2021","2021-05-23",65,5
"01","'22-2020","2020-05-24",279,27
"01","'22-2021","2021-05-30",58,1
"01","'23-2020","2020-05-31",380,29
"01","'23-2021","2021-06-06",57,3
"01","'24-2020","2020-06-07",374,30
"01","'24-2021","2021-06-13",35,2
"01","'25-2020","2020-06-14",393,40
"01","'25-2021","2021-06-20",65,4
"01","'26-2020","2020-06-21",333,25
"01","'26-2021","2021-06-27",85,2
"01","'27-2020","2020-06-28",401,31
"01","'27-2021","2021-07-04",169,4
"01","'28-2020","2020-07-05",432,21
"01","'28-2021","2021-07-11",315,7
"01","'29-2020","2020-07-12",418,30
