creacion,retweet_count,numSemana,compoundRT
01/03/21,21,10,15.4371
01/03/21,21,10,15.4371
01/03/21,24,10,0
01/03/21,1,10,-0.8885
01/03/21,19,10,0
01/03/21,3,10,-2.2053
01/03/21,19,10,0
01/03/21,19,10,0
01/03/21,19,10,0
01/03/21,20,10,13.41
01/03/21,0,10,0
01/03/21,2,10,0.5
01/03/21,29,10,0
01/03/21,6,10,-1.776
01/03/21,0,10,0
01/03/21,0,10,0
01/03/21,0,10,0
01/03/21,26,10,7.6024
01/03/21,4,10,3.2436
01/03/21,4,10,0
01/03/21,18,10,8.2584
01/03/21,2,10,-0.843
01/03/21,1,10,0.2247
01/03/21,1,10,0.3612
01/03/21,26,10,7.6024
01/03/21,19,10,0
01/03/21,3,10,-2.2053
01/03/21,19,10,0
01/03/21,653,10,99.9743
01/03/21,76,10,-36.9892
01/03/21,19,10,0
01/03/21,0,10,0
01/03/21,1,10,0
01/03/21,0,10,0
01/03/21,0,10,0
01/03/21,19,10,0
01/03/21,2,10,0.5
01/03/21,24,10,0
01/03/21,19,10,0
01/03/21,3,10,-2.2053
01/03/21,19,10,0
01/03/21,73,10,-48.6983
01/03/21,93,10,65.9928
01/03/21,20,10,0
01/03/21,73,10,-48.6983
01/03/21,0,10,0
01/03/21,42,10,26.7162
01/03/21,20,10,0
01/03/21,2,10,0.5
01/03/21,1,10,-0.128
01/03/21,0,10,0
01/03/21,351,10,245.8053
01/03/21,1,10,-0.0609
01/03/21,19,10,0
01/03/21,3,10,-2.2053
01/03/21,19,10,0
01/03/21,0,10,0
01/03/21,91,10,0
01/03/21,45,10,-35.0235
01/03/21,2,10,-0.6906
01/03/21,4,10,0
01/03/21,0,10,0
01/03/21,8,10,-2.5456
02/03/21,0,10,0
02/03/21,29,10,0
02/03/21,21,10,5.25
02/03/21,32,10,27.7056
02/03/21,32,10,27.7056
02/03/21,7,10,3.5742
02/03/21,1,10,0.5719
02/03/21,0,10,0
02/03/21,3,10,0
02/03/21,0,10,0
02/03/21,0,10,0
02/03/21,1,10,-0.0232
02/03/21,1,10,0.4019
02/03/21,0,10,0
02/03/21,309,10,147.3003
02/03/21,40,10,27.932
02/03/21,40,10,27.932
02/03/21,0,10,0
02/03/21,0,10,0
02/03/21,0,10,0
02/03/21,0,10,0
02/03/21,72,10,0
02/03/21,0,10,0
02/03/21,29,10,12.7716
02/03/21,29,10,12.7716
02/03/21,40,10,16.86
02/03/21,0,10,0
02/03/21,3,10,0
02/03/21,40,10,16.86
02/03/21,0,10,0
02/03/21,0,10,0
02/03/21,1,10,0.6488
02/03/21,40,10,28.012
02/03/21,40,10,16.86
02/03/21,10,10,3.818
02/03/21,0,10,0
02/03/21,45,10,17.6355
02/03/21,1,10,0.8294
02/03/21,73,10,-48.6983
02/03/21,0,10,0
02/03/21,0,10,0
02/03/21,50,10,43.445
02/03/21,3,10,0
02/03/21,3,10,1.0836
02/03/21,21,10,13.1229
02/03/21,3,10,1.0836
02/03/21,0,10,0
02/03/21,1,10,-0.0232
02/03/21,90,10,45.954
02/03/21,90,10,45.954
02/03/21,5,10,-3.1245
02/03/21,5,10,-3.1245
02/03/21,3,10,0
02/03/21,0,10,0
02/03/21,0,10,0
02/03/21,5,10,0
02/03/21,43,10,0
02/03/21,9,10,0
02/03/21,168,10,-33.9864
02/03/21,168,10,-33.9864
02/03/21,3,10,0
02/03/21,168,10,-33.9864
02/03/21,168,10,-33.9864
02/03/21,43,10,0
02/03/21,1,10,0.4404
02/03/21,1,10,0.6488
03/03/21,0,10,0
03/03/21,1,10,0.7587
03/03/21,1,10,0.0458
03/03/21,0,10,0
03/03/21,0,10,0
03/03/21,5,10,-3.8915
03/03/21,2,10,0
03/03/21,22,10,15.8048
03/03/21,2,10,0.5464
03/03/21,15,10,13.6215
03/03/21,15,10,12.663
03/03/21,24,10,19.8504
03/03/21,6,10,-1.6392
