candidato,retweetTimesFear,retweetTotal,creacion,numSemana
Adrian de la Garza,0,21,01/03/21,10
Adrian de la Garza,0,21,01/03/21,10
Adrian de la Garza,0,24,01/03/21,10
Adrian de la Garza,0.090909091,1,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,0.272727273,3,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,0,20,01/03/21,10
Adrian de la Garza,0,0,01/03/21,10
Adrian de la Garza,0,2,01/03/21,10
Adrian de la Garza,0,29,01/03/21,10
Adrian de la Garza,0,0,02/03/21,10
Adrian de la Garza,0,29,02/03/21,10
Adrian de la Garza,2.333333331,21,02/03/21,10
Adrian de la Garza,0,32,02/03/21,10
Adrian de la Garza,0,32,02/03/21,10
Adrian de la Garza,0,7,02/03/21,10
Adrian de la Garza,0.055555556,1,02/03/21,10
Adrian de la Garza,0,0,02/03/21,10
Adrian de la Garza,0,3,02/03/21,10
Adrian de la Garza,0,0,02/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,0.111111111,1,03/03/21,10
Adrian de la Garza,0.083333333,1,03/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,0,5,03/03/21,10
Adrian de la Garza,0,2,03/03/21,10
Adrian de la Garza,0,22,03/03/21,10
Adrian de la Garza,0,2,03/03/21,10
Adrian de la Garza,0,15,03/03/21,10
Adrian de la Garza,0,15,03/03/21,10
Adrian de la Garza,0,24,03/03/21,10
Adrian de la Garza,1.000000002,6,03/03/21,10
Adrian de la Garza,0.111111111,1,03/03/21,10
Adrian de la Garza,1.8,18,03/03/21,10
Adrian de la Garza,1.000000002,6,03/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,1.8,18,03/03/21,10
Adrian de la Garza,3.63636364,20,03/03/21,10
Adrian de la Garza,0.25,5,04/03/21,10
Adrian de la Garza,0,5,04/03/21,10
Adrian de la Garza,0,20,04/03/21,10
Adrian de la Garza,0,5,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0,27,04/03/21,10
Adrian de la Garza,0,27,04/03/21,10
Adrian de la Garza,0,14,04/03/21,10
Adrian de la Garza,0,21,04/03/21,10
Adrian de la Garza,0,18,04/03/21,10
Adrian de la Garza,0,21,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0,2,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0,2,05/03/21,10
Adrian de la Garza,0,2,05/03/21,10
Adrian de la Garza,0,21,05/03/21,10
Adrian de la Garza,0,6,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,6,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,2,05/03/21,10
Adrian de la Garza,0,1,05/03/21,10
Adrian de la Garza,10.33333332,31,05/03/21,10
Adrian de la Garza,0.470588232,8,05/03/21,10
Adrian de la Garza,10.46153847,136,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,10.33333332,31,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,2,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,2,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,6.2,31,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.05,1,05/03/21,10
Adrian de la Garza,0,150,05/03/21,10
Adrian de la Garza,0,44,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.25,1,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,1,05/03/21,10
Adrian de la Garza,0,44,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,44,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,44,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.333333333,3,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,12,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,5.0625,81,05/03/21,10
Adrian de la Garza,8.1,81,05/03/21,10
Adrian de la Garza,0,19,05/03/21,10
Adrian de la Garza,0,4,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,1,05/03/21,10
Adrian de la Garza,0,1,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,8.1,81,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,8.1,81,05/03/21,10
Adrian de la Garza,2.3,23,05/03/21,10
Adrian de la Garza,3.4,17,05/03/21,10
Adrian de la Garza,1.2,6,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,1.33333334,20,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,8.1,81,05/03/21,10
Adrian de la Garza,8.1,81,05/03/21,10
Adrian de la Garza,0,5,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,4,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,150,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,38,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,19,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,2,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,3.1,31,05/03/21,10
Adrian de la Garza,8.666666658,26,05/03/21,10
Adrian de la Garza,0,34,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,34,06/03/21,10
Adrian de la Garza,0,4,06/03/21,10
Adrian de la Garza,2.3,23,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,2.1,21,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,1,06/03/21,10
Adrian de la Garza,0,19,06/03/21,10
Adrian de la Garza,0,3,06/03/21,10
Adrian de la Garza,0,26,06/03/21,10
Adrian de la Garza,0,2,06/03/21,10
Adrian de la Garza,0,43,06/03/21,10
Adrian de la Garza,0,43,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,1.2,6,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0.142857143,1,06/03/21,10
Adrian de la Garza,0,20,06/03/21,10
Adrian de la Garza,0,31,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,20,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,35,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,25,06/03/21,10
Adrian de la Garza,0,27,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,35,06/03/21,10
Adrian de la Garza,0,150,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,25,06/03/21,10
Adrian de la Garza,3.357142837,47,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,4,06/03/21,10
Adrian de la Garza,0,27,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,43,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,20,06/03/21,10
Adrian de la Garza,0,35,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,41,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,22,07/03/21,11
Adrian de la Garza,0,20,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,20,07/03/21,11
Adrian de la Garza,0,6,07/03/21,11
Adrian de la Garza,8.1,81,07/03/21,11
Adrian de la Garza,0.8,4,07/03/21,11
Adrian de la Garza,0,22,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,11,07/03/21,11
Adrian de la Garza,3.357142837,47,07/03/21,11
Adrian de la Garza,3.272727276,36,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,2.888888886,26,07/03/21,11
Adrian de la Garza,0,7,07/03/21,11
Adrian de la Garza,4.92,41,08/03/21,11
Adrian de la Garza,0,3,08/03/21,11
Adrian de la Garza,0,3,08/03/21,11
Adrian de la Garza,0.272727273,3,08/03/21,11
Adrian de la Garza,0,53,08/03/21,11
Adrian de la Garza,6.307692314,41,08/03/21,11
Adrian de la Garza,0,1,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,3,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,2.3,23,08/03/21,11
Adrian de la Garza,0,28,08/03/21,11
Adrian de la Garza,9.428571438,66,08/03/21,11
Adrian de la Garza,0,28,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,5,08/03/21,11
Adrian de la Garza,0,19,08/03/21,11
Adrian de la Garza,0,40,08/03/21,11
Adrian de la Garza,0,19,08/03/21,11
Adrian de la Garza,0.75,3,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,2.2,22,08/03/21,11
Adrian de la Garza,0,40,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,2.2,22,08/03/21,11
Adrian de la Garza,0,40,08/03/21,11
Adrian de la Garza,2.2,22,08/03/21,11
Adrian de la Garza,0,40,09/03/21,11
Adrian de la Garza,0,25,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,4.461538466,58,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,4.461538466,58,09/03/21,11
Adrian de la Garza,4.461538466,58,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,0,80,09/03/21,11
Adrian de la Garza,0,80,09/03/21,11
Adrian de la Garza,0,1,09/03/21,11
Adrian de la Garza,0,34,09/03/21,11
Adrian de la Garza,0,34,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,0,80,09/03/21,11
Adrian de la Garza,4.461538466,58,09/03/21,11
Adrian de la Garza,0,20,09/03/21,11
Adrian de la Garza,0,67,09/03/21,11
Adrian de la Garza,2.083333325,25,10/03/21,11
Adrian de la Garza,0,44,10/03/21,11
Adrian de la Garza,0,44,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,6.333333365,95,10/03/21,11
Adrian de la Garza,0,44,10/03/21,11
Adrian de la Garza,0,7,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,10.55555555,95,10/03/21,11
Adrian de la Garza,0,1,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,1,10/03/21,11
Adrian de la Garza,10.55555555,95,10/03/21,11
Adrian de la Garza,0,1,10/03/21,11
Adrian de la Garza,0,67,10/03/21,11
Adrian de la Garza,0,35,10/03/21,11
Adrian de la Garza,0,23,10/03/21,11
Adrian de la Garza,2.083333325,25,10/03/21,11
Adrian de la Garza,0,28,10/03/21,11
Adrian de la Garza,0,16,10/03/21,11
Adrian de la Garza,1,4,10/03/21,11
Adrian de la Garza,0,3,10/03/21,11
Adrian de la Garza,0,15,10/03/21,11
Adrian de la Garza,0.181818182,2,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,53,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,53,10/03/21,11
Adrian de la Garza,0,13,10/03/21,11
Adrian de la Garza,0,45,10/03/21,11
Adrian de la Garza,0,45,10/03/21,11
Adrian de la Garza,0,23,10/03/21,11
Adrian de la Garza,0,23,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,55,10/03/21,11
Adrian de la Garza,0,6,10/03/21,11
Adrian de la Garza,0,55,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,31,11/03/21,11
Adrian de la Garza,0,38,11/03/21,11
Adrian de la Garza,0,38,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,24,11/03/21,11
Adrian de la Garza,0.3,3,11/03/21,11
Adrian de la Garza,0,1,11/03/21,11
Adrian de la Garza,0,2,11/03/21,11
Adrian de la Garza,2.083333325,25,11/03/21,11
Adrian de la Garza,0,20,11/03/21,11
Adrian de la Garza,0,38,11/03/21,11
Adrian de la Garza,0,24,11/03/21,11
Adrian de la Garza,0,38,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,33,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,33,11/03/21,11
Adrian de la Garza,0,2,11/03/21,11
Adrian de la Garza,0,4,11/03/21,11
Adrian de la Garza,0,2,11/03/21,11
Adrian de la Garza,0,1,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,1,11/03/21,11
Adrian de la Garza,6.875,55,11/03/21,11
Adrian de la Garza,0,1,11/03/21,11
Adrian de la Garza,0,3,11/03/21,11
Adrian de la Garza,0,37,11/03/21,11
Adrian de la Garza,0,1,11/03/21,11
Adrian de la Garza,4.499999982,54,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,4.499999982,54,12/03/21,11
Adrian de la Garza,0,25,12/03/21,11
Adrian de la Garza,0,5,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,6.875,55,12/03/21,11
Adrian de la Garza,0,55,12/03/21,11
Adrian de la Garza,0,49,12/03/21,11
Adrian de la Garza,0,1,12/03/21,11
Adrian de la Garza,0,50,12/03/21,11
Adrian de la Garza,0,20,12/03/21,11
Adrian de la Garza,0,49,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,0,49,12/03/21,11
Adrian de la Garza,0,23,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,3.727272731,41,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,0,49,12/03/21,11
Adrian de la Garza,0,37,12/03/21,11
Adrian de la Garza,0,35,12/03/21,11
Adrian de la Garza,0.2,1,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,0,44,12/03/21,11
Adrian de la Garza,0,27,12/03/21,11
Adrian de la Garza,0,20,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,0,20,12/03/21,11
Adrian de la Garza,0,1,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,0,0,12/03/21,11
Adrian de la Garza,2.4,24,12/03/21,11
Adrian de la Garza,0.2,1,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,3,13/03/21,11
Adrian de la Garza,0,2,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,41,13/03/21,11
Adrian de la Garza,0,41,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,35,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,2.923076926,38,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,2.923076926,38,13/03/21,11
Adrian de la Garza,3.500000007,21,13/03/21,11
Adrian de la Garza,2.923076926,38,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,2.923076926,38,13/03/21,11
Adrian de la Garza,0,2,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,3,13/03/21,11
Adrian de la Garza,0,47,13/03/21,11
Adrian de la Garza,0,47,13/03/21,11
Adrian de la Garza,0,3,13/03/21,11
Adrian de la Garza,0,20,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,30,13/03/21,11
Adrian de la Garza,2.923076926,38,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,47,13/03/21,11
Adrian de la Garza,0,40,13/03/21,11
Adrian de la Garza,0,40,13/03/21,11
Adrian de la Garza,0,39,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,18,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,13/03/21,11
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0,39,14/03/21,12
Adrian de la Garza,0,30,14/03/21,12
Adrian de la Garza,0,1,14/03/21,12
Adrian de la Garza,0,30,14/03/21,12
Adrian de la Garza,0,30,14/03/21,12
Adrian de la Garza,0,30,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,9.333333324,42,14/03/21,12
Adrian de la Garza,0,1,14/03/21,12
Adrian de la Garza,0,40,14/03/21,12
Adrian de la Garza,0,42,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,1.166666662,14,14/03/21,12
Adrian de la Garza,0,22,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0,2,14/03/21,12
Adrian de la Garza,0,26,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0.266666668,4,14/03/21,12
Adrian de la Garza,0,1,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0,7,14/03/21,12
Adrian de la Garza,0,28,14/03/21,12
Adrian de la Garza,0,21,14/03/21,12
Adrian de la Garza,0,0,14/03/21,12
Adrian de la Garza,0,21,14/03/21,12
Adrian de la Garza,0,21,14/03/21,12
Adrian de la Garza,0,82,14/03/21,12
Adrian de la Garza,0,7,14/03/21,12
Adrian de la Garza,0,34,15/03/21,12
Adrian de la Garza,0,1,15/03/21,12
Adrian de la Garza,0,29,15/03/21,12
Adrian de la Garza,0,82,15/03/21,12
Adrian de la Garza,0,1,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0.333333333,1,15/03/21,12
Adrian de la Garza,0,13,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0.249999999,3,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0,1,15/03/21,12
Adrian de la Garza,0,2,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,3.9,39,15/03/21,12
Adrian de la Garza,0,2,15/03/21,12
Adrian de la Garza,3.9,39,15/03/21,12
Adrian de la Garza,0,0,15/03/21,12
Adrian de la Garza,0,2,15/03/21,12
Adrian de la Garza,0,23,15/03/21,12
Adrian de la Garza,0,1,15/03/21,12
Adrian de la Garza,0,2,15/03/21,12
Adrian de la Garza,0,6,15/03/21,12
Adrian de la Garza,0,23,16/03/21,12
Adrian de la Garza,0,1,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,23,16/03/21,12
Adrian de la Garza,0,4,16/03/21,12
Adrian de la Garza,0,36,16/03/21,12
Adrian de la Garza,0,4,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,29,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,36,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,4,16/03/21,12
Adrian de la Garza,1.083333342,26,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,24,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,6,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,1,16/03/21,12
Adrian de la Garza,0,26,16/03/21,12
Adrian de la Garza,0.727272728,4,16/03/21,12
Adrian de la Garza,12.5,100,16/03/21,12
Adrian de la Garza,12.5,100,16/03/21,12
Adrian de la Garza,12.5,100,16/03/21,12
Adrian de la Garza,12.5,100,16/03/21,12
Adrian de la Garza,12.5,100,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,12.5,100,16/03/21,12
Adrian de la Garza,0,2,16/03/21,12
Adrian de la Garza,0,11,16/03/21,12
Adrian de la Garza,0,11,16/03/21,12
Adrian de la Garza,2.8,28,16/03/21,12
Adrian de la Garza,12.5,100,16/03/21,12
Adrian de la Garza,0,0,16/03/21,12
Adrian de la Garza,12.5,100,16/03/21,12
Adrian de la Garza,3.6,36,16/03/21,12
Adrian de la Garza,0,4,17/03/21,12
Adrian de la Garza,0,0,17/03/21,12
Adrian de la Garza,0,44,17/03/21,12
Adrian de la Garza,0,96,17/03/21,12
Adrian de la Garza,0,96,17/03/21,12
Adrian de la Garza,0,4,17/03/21,12
Adrian de la Garza,0,96,17/03/21,12
Adrian de la Garza,0,44,17/03/21,12
Adrian de la Garza,0,24,17/03/21,12
Adrian de la Garza,0,96,17/03/21,12
Adrian de la Garza,2.3,23,17/03/21,12
Adrian de la Garza,2.3,23,17/03/21,12
Adrian de la Garza,0,0,17/03/21,12
Adrian de la Garza,0,0,17/03/21,12
Adrian de la Garza,0,96,17/03/21,12
Adrian de la Garza,0,96,17/03/21,12
Adrian de la Garza,0,30,17/03/21,12
Adrian de la Garza,0,24,17/03/21,12
Adrian de la Garza,3.6,36,17/03/21,12
Adrian de la Garza,0,5,17/03/21,12
Adrian de la Garza,0,13,17/03/21,12
Adrian de la Garza,0,1,17/03/21,12
Adrian de la Garza,0,38,17/03/21,12
Adrian de la Garza,0,2,17/03/21,12
Adrian de la Garza,0,16,17/03/21,12
Adrian de la Garza,0,0,17/03/21,12
Adrian de la Garza,0,38,17/03/21,12
Adrian de la Garza,0,0,17/03/21,12
Adrian de la Garza,0,0,17/03/21,12
Adrian de la Garza,2.249999991,27,17/03/21,12
Adrian de la Garza,0,17,17/03/21,12
Adrian de la Garza,2.363636366,26,17/03/21,12
Adrian de la Garza,2.249999991,27,17/03/21,12
Adrian de la Garza,5,40,17/03/21,12
Adrian de la Garza,5,40,17/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,7.125,57,18/03/21,12
Adrian de la Garza,0,2,18/03/21,12
Adrian de la Garza,0,77,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,3.666666663,33,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,3.666666663,33,18/03/21,12
Adrian de la Garza,3.666666663,33,18/03/21,12
Adrian de la Garza,0,38,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,7.125,57,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,7.125,57,18/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,0,2,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,29,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,0,0,18/03/21,12
Adrian de la Garza,2.333333324,28,18/03/21,12
Adrian de la Garza,2.333333324,28,18/03/21,12
