candidato,retweetTimesPositivity,retweetTotal,creacion,numSemana
Adrian de la Garza,6.258,21,01/03/21,10
Adrian de la Garza,6.258,21,01/03/21,10
Adrian de la Garza,0,24,01/03/21,10
Adrian de la Garza,0,1,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,0,3,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,4.68,20,01/03/21,10
Adrian de la Garza,0,0,01/03/21,10
Adrian de la Garza,0.174,2,01/03/21,10
Adrian de la Garza,0,29,01/03/21,10
Adrian de la Garza,0,0,02/03/21,10
Adrian de la Garza,0,29,02/03/21,10
Adrian de la Garza,5.166,21,02/03/21,10
Adrian de la Garza,12.576,32,02/03/21,10
Adrian de la Garza,12.576,32,02/03/21,10
Adrian de la Garza,1.295,7,02/03/21,10
Adrian de la Garza,0.222,1,02/03/21,10
Adrian de la Garza,0,0,02/03/21,10
Adrian de la Garza,0,3,02/03/21,10
Adrian de la Garza,0,0,02/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,0.263,1,03/03/21,10
Adrian de la Garza,0.172,1,03/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,0,5,03/03/21,10
Adrian de la Garza,0,2,03/03/21,10
Adrian de la Garza,4.884,22,03/03/21,10
Adrian de la Garza,0.19,2,03/03/21,10
Adrian de la Garza,6.12,15,03/03/21,10
Adrian de la Garza,5.235,15,03/03/21,10
Adrian de la Garza,8.448,24,03/03/21,10
Adrian de la Garza,0,6,03/03/21,10
Adrian de la Garza,0,1,03/03/21,10
Adrian de la Garza,3.834,18,03/03/21,10
Adrian de la Garza,0,6,03/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,3.834,18,03/03/21,10
Adrian de la Garza,0,20,03/03/21,10
Adrian de la Garza,0,5,04/03/21,10
Adrian de la Garza,0,5,04/03/21,10
Adrian de la Garza,7.72,20,04/03/21,10
Adrian de la Garza,0,5,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,2.457,27,04/03/21,10
Adrian de la Garza,2.457,27,04/03/21,10
Adrian de la Garza,6.748,14,04/03/21,10
Adrian de la Garza,8.715,21,04/03/21,10
Adrian de la Garza,3.492,18,04/03/21,10
Adrian de la Garza,8.715,21,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0.564,2,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0.304,2,05/03/21,10
Adrian de la Garza,0,2,05/03/21,10
Adrian de la Garza,8.715,21,05/03/21,10
Adrian de la Garza,0,6,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,6,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,2,05/03/21,10
Adrian de la Garza,0,1,05/03/21,10
Adrian de la Garza,6.634,31,05/03/21,10
Adrian de la Garza,1.224,8,05/03/21,10
Adrian de la Garza,0,136,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,6.634,31,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.13,2,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.168,2,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,7.068,31,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.185,1,05/03/21,10
Adrian de la Garza,0,150,05/03/21,10
Adrian de la Garza,0,44,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.191,1,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.19,1,05/03/21,10
Adrian de la Garza,0,44,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,44,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,44,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.627,3,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,6.78,12,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,11.583,81,05/03/21,10
Adrian de la Garza,7.614,81,05/03/21,10
Adrian de la Garza,1.767,19,05/03/21,10
Adrian de la Garza,2.368,4,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.179,1,05/03/21,10
Adrian de la Garza,0.153,1,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,7.614,81,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,7.614,81,05/03/21,10
Adrian de la Garza,1.334,23,05/03/21,10
Adrian de la Garza,3.791,17,05/03/21,10
Adrian de la Garza,2.208,6,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,4.06,20,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,7.614,81,05/03/21,10
Adrian de la Garza,7.614,81,05/03/21,10
Adrian de la Garza,0,5,05/03/21,10
Adrian de la Garza,0,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
