candidato,retweetTimesTrust,retweetTotal,creacion,numSemana
Adrian de la Garza,1.615384617,21,01/03/21,10
Adrian de la Garza,1.615384617,21,01/03/21,10
Adrian de la Garza,0,24,01/03/21,10
Adrian de la Garza,0,1,01/03/21,10
Adrian de la Garza,7.125,19,01/03/21,10
Adrian de la Garza,0,3,01/03/21,10
Adrian de la Garza,7.125,19,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,0,19,01/03/21,10
Adrian de la Garza,2.22222222,20,01/03/21,10
Adrian de la Garza,0,0,01/03/21,10
Adrian de la Garza,0.166666666,2,01/03/21,10
Adrian de la Garza,0,29,01/03/21,10
Adrian de la Garza,0,0,02/03/21,10
Adrian de la Garza,0,29,02/03/21,10
Adrian de la Garza,0,21,02/03/21,10
Adrian de la Garza,5.818181824,32,02/03/21,10
Adrian de la Garza,5.818181824,32,02/03/21,10
Adrian de la Garza,0.636363637,7,02/03/21,10
Adrian de la Garza,0,1,02/03/21,10
Adrian de la Garza,0,0,02/03/21,10
Adrian de la Garza,0.642857142,3,02/03/21,10
Adrian de la Garza,0,0,02/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,0.222222222,1,03/03/21,10
Adrian de la Garza,0.125,1,03/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,0,5,03/03/21,10
Adrian de la Garza,0,2,03/03/21,10
Adrian de la Garza,1.571428562,22,03/03/21,10
Adrian de la Garza,0,2,03/03/21,10
Adrian de la Garza,3,15,03/03/21,10
Adrian de la Garza,1.000000005,15,03/03/21,10
Adrian de la Garza,3,24,03/03/21,10
Adrian de la Garza,0,6,03/03/21,10
Adrian de la Garza,0.111111111,1,03/03/21,10
Adrian de la Garza,0,18,03/03/21,10
Adrian de la Garza,0,6,03/03/21,10
Adrian de la Garza,0,0,03/03/21,10
Adrian de la Garza,0,18,03/03/21,10
Adrian de la Garza,0,20,03/03/21,10
Adrian de la Garza,0.25,5,04/03/21,10
Adrian de la Garza,0.625,5,04/03/21,10
Adrian de la Garza,4,20,04/03/21,10
Adrian de la Garza,0.625,5,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0,27,04/03/21,10
Adrian de la Garza,0,27,04/03/21,10
Adrian de la Garza,3.5,14,04/03/21,10
Adrian de la Garza,4.941176478,21,04/03/21,10
Adrian de la Garza,0,18,04/03/21,10
Adrian de la Garza,4.941176478,21,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0,2,04/03/21,10
Adrian de la Garza,0,0,04/03/21,10
Adrian de la Garza,0.333333334,2,05/03/21,10
Adrian de la Garza,0,2,05/03/21,10
Adrian de la Garza,4.941176478,21,05/03/21,10
Adrian de la Garza,0.666666666,6,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.666666666,6,05/03/21,10
Adrian de la Garza,13.42857144,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,13.42857144,47,05/03/21,10
Adrian de la Garza,0,2,05/03/21,10
Adrian de la Garza,0.166666667,1,05/03/21,10
Adrian de la Garza,2.583333323,31,05/03/21,10
Adrian de la Garza,0.470588232,8,05/03/21,10
Adrian de la Garza,10.46153847,136,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,2.583333323,31,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.333333334,2,05/03/21,10
Adrian de la Garza,13.42857144,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.2,2,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,3.1,31,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.05,1,05/03/21,10
Adrian de la Garza,0,150,05/03/21,10
Adrian de la Garza,0,44,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,1,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,1,05/03/21,10
Adrian de la Garza,0,44,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,44,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,44,05/03/21,10
Adrian de la Garza,13.42857144,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.666666666,3,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,1.2,12,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,5.0625,81,05/03/21,10
Adrian de la Garza,8.1,81,05/03/21,10
Adrian de la Garza,2.375,19,05/03/21,10
Adrian de la Garza,2,4,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.142857143,1,05/03/21,10
Adrian de la Garza,0.235294118,1,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,8.1,81,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,8.1,81,05/03/21,10
Adrian de la Garza,4.6,23,05/03/21,10
Adrian de la Garza,0,17,05/03/21,10
Adrian de la Garza,0,6,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,2.66666666,20,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,8.1,81,05/03/21,10
Adrian de la Garza,8.1,81,05/03/21,10
Adrian de la Garza,0.625,5,05/03/21,10
Adrian de la Garza,13.42857144,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.266666668,4,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,150,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,3.8,38,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,4.222222218,19,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,13.42857144,47,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0.666666666,2,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,0,0,05/03/21,10
Adrian de la Garza,6.2,31,05/03/21,10
Adrian de la Garza,0,26,05/03/21,10
Adrian de la Garza,0,34,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,34,06/03/21,10
Adrian de la Garza,0.5,4,06/03/21,10
Adrian de la Garza,4.6,23,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,6.3,21,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0.2,1,06/03/21,10
Adrian de la Garza,4.222222218,19,06/03/21,10
Adrian de la Garza,0.500000001,3,06/03/21,10
Adrian de la Garza,2.166666658,26,06/03/21,10
Adrian de la Garza,1,2,06/03/21,10
Adrian de la Garza,3.909090913,43,06/03/21,10
Adrian de la Garza,3.909090913,43,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,6,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,1,06/03/21,10
Adrian de la Garza,0,20,06/03/21,10
Adrian de la Garza,3.875,31,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,20,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,4.375,35,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,5,25,06/03/21,10
Adrian de la Garza,3.176470593,27,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,4.375,35,06/03/21,10
Adrian de la Garza,0,150,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,5,25,06/03/21,10
Adrian de la Garza,0,47,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,2,4,06/03/21,10
Adrian de la Garza,6.75,27,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,3.909090913,43,06/03/21,10
Adrian de la Garza,0,0,06/03/21,10
Adrian de la Garza,0,20,06/03/21,10
Adrian de la Garza,0,35,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,41,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,2.2,22,07/03/21,11
Adrian de la Garza,6,20,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,6,20,07/03/21,11
Adrian de la Garza,0,6,07/03/21,11
Adrian de la Garza,8.1,81,07/03/21,11
Adrian de la Garza,0,4,07/03/21,11
Adrian de la Garza,2.2,22,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,1.833333337,11,07/03/21,11
Adrian de la Garza,0,47,07/03/21,11
Adrian de la Garza,0,36,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,0,0,07/03/21,11
Adrian de la Garza,2.888888886,26,07/03/21,11
Adrian de la Garza,0.875,7,07/03/21,11
Adrian de la Garza,1.64,41,08/03/21,11
Adrian de la Garza,0.272727273,3,08/03/21,11
Adrian de la Garza,0.272727273,3,08/03/21,11
Adrian de la Garza,0.545454546,3,08/03/21,11
Adrian de la Garza,4.608695666,53,08/03/21,11
Adrian de la Garza,3.153846157,41,08/03/21,11
Adrian de la Garza,0.272727273,1,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0.214285713,3,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,2.3,23,08/03/21,11
Adrian de la Garza,7.636363644,28,08/03/21,11
Adrian de la Garza,4.714285686,66,08/03/21,11
Adrian de la Garza,7.636363644,28,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,2,5,08/03/21,11
Adrian de la Garza,2.714285717,19,08/03/21,11
Adrian de la Garza,3.07692308,40,08/03/21,11
Adrian de la Garza,2.714285717,19,08/03/21,11
Adrian de la Garza,0.75,3,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,2.2,22,08/03/21,11
Adrian de la Garza,0,40,08/03/21,11
Adrian de la Garza,0,0,08/03/21,11
Adrian de la Garza,2.2,22,08/03/21,11
Adrian de la Garza,0,40,08/03/21,11
Adrian de la Garza,2.2,22,08/03/21,11
Adrian de la Garza,0,40,09/03/21,11
Adrian de la Garza,4.54545455,25,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,4.461538466,58,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,4.461538466,58,09/03/21,11
Adrian de la Garza,4.461538466,58,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,6.66666664,80,09/03/21,11
Adrian de la Garza,6.66666664,80,09/03/21,11
Adrian de la Garza,0,1,09/03/21,11
Adrian de la Garza,3.777777774,34,09/03/21,11
Adrian de la Garza,3.777777774,34,09/03/21,11
Adrian de la Garza,0,0,09/03/21,11
Adrian de la Garza,6.66666664,80,09/03/21,11
Adrian de la Garza,4.461538466,58,09/03/21,11
Adrian de la Garza,1.66666666,20,09/03/21,11
Adrian de la Garza,0,67,09/03/21,11
Adrian de la Garza,2.083333325,25,10/03/21,11
Adrian de la Garza,9.777777768,44,10/03/21,11
Adrian de la Garza,9.777777768,44,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,12.66666664,95,10/03/21,11
Adrian de la Garza,9.777777768,44,10/03/21,11
Adrian de la Garza,0,7,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,10.55555555,95,10/03/21,11
Adrian de la Garza,0,1,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,1,10/03/21,11
Adrian de la Garza,10.55555555,95,10/03/21,11
Adrian de la Garza,0,1,10/03/21,11
Adrian de la Garza,0,67,10/03/21,11
Adrian de la Garza,4.375,35,10/03/21,11
Adrian de la Garza,3.538461542,23,10/03/21,11
Adrian de la Garza,2.083333325,25,10/03/21,11
Adrian de la Garza,8.4,28,10/03/21,11
Adrian de la Garza,4.17391304,16,10/03/21,11
Adrian de la Garza,0,4,10/03/21,11
Adrian de la Garza,0,3,10/03/21,11
Adrian de la Garza,3.75,15,10/03/21,11
Adrian de la Garza,0,2,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,4.818181823,53,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,4.818181823,53,10/03/21,11
Adrian de la Garza,0.928571423,13,10/03/21,11
Adrian de la Garza,0,45,10/03/21,11
Adrian de la Garza,0,45,10/03/21,11
Adrian de la Garza,0,23,10/03/21,11
Adrian de la Garza,0,23,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,27.5,55,10/03/21,11
Adrian de la Garza,1.5,6,10/03/21,11
Adrian de la Garza,27.5,55,10/03/21,11
Adrian de la Garza,0,0,10/03/21,11
Adrian de la Garza,0,31,11/03/21,11
Adrian de la Garza,8.444444436,38,11/03/21,11
Adrian de la Garza,8.444444436,38,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,2.4,24,11/03/21,11
Adrian de la Garza,0.6,3,11/03/21,11
Adrian de la Garza,0,1,11/03/21,11
Adrian de la Garza,0.25,2,11/03/21,11
Adrian de la Garza,2.083333325,25,11/03/21,11
Adrian de la Garza,1.66666666,20,11/03/21,11
Adrian de la Garza,8.444444436,38,11/03/21,11
Adrian de la Garza,2.4,24,11/03/21,11
Adrian de la Garza,8.444444436,38,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,3.3,33,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,0,0,11/03/21,11
Adrian de la Garza,3.3,33,11/03/21,11
