creacion,candidato,compound,retweet_count,numSemana,compoundRT
01/03/21,Clara Luz Flores,-0.296,6,10,-1.776
01/03/21,Clara Luz Flores,0,0,10,0
01/03/21,Clara Luz Flores,0,0,10,0
01/03/21,Clara Luz Flores,-0.2537,0,10,0
01/03/21,Clara Luz Flores,0.2924,26,10,7.6024
01/03/21,Clara Luz Flores,0.8109,4,10,3.2436
01/03/21,Clara Luz Flores,0,4,10,0
01/03/21,Clara Luz Flores,0.4588,18,10,8.2584
01/03/21,Clara Luz Flores,-0.4215,2,10,-0.843
01/03/21,Clara Luz Flores,0.2247,1,10,0.2247
01/03/21,Clara Luz Flores,0.3612,1,10,0.3612
01/03/21,Clara Luz Flores,0.2924,26,10,7.6024
01/03/21,Clara Luz Flores,0,19,10,0
01/03/21,Clara Luz Flores,-0.7351,3,10,-2.2053
01/03/21,Clara Luz Flores,0,19,10,0
01/03/21,Clara Luz Flores,0.1531,653,10,99.9743
01/03/21,Clara Luz Flores,-0.4867,76,10,-36.9892
01/03/21,Clara Luz Flores,0,19,10,0
01/03/21,Clara Luz Flores,0.4019,0,10,0
01/03/21,Clara Luz Flores,0,1,10,0
01/03/21,Clara Luz Flores,0.2023,0,10,0
01/03/21,Clara Luz Flores,0.8176,0,10,0
01/03/21,Clara Luz Flores,0,19,10,0
01/03/21,Clara Luz Flores,0.25,2,10,0.5
02/03/21,Clara Luz Flores,0.6597,0,10,0
02/03/21,Clara Luz Flores,-0.0232,1,10,-0.0232
02/03/21,Clara Luz Flores,0.4019,1,10,0.4019
02/03/21,Clara Luz Flores,-0.1027,0,10,0
02/03/21,Clara Luz Flores,0.4767,309,10,147.3003
02/03/21,Clara Luz Flores,0.6983,40,10,27.932
02/03/21,Clara Luz Flores,0.6983,40,10,27.932
02/03/21,Clara Luz Flores,0,0,10,0
02/03/21,Clara Luz Flores,0.6124,0,10,0
02/03/21,Clara Luz Flores,-0.7506,0,10,0
02/03/21,Clara Luz Flores,-0.1531,0,10,0
02/03/21,Clara Luz Flores,0,72,10,0
02/03/21,Clara Luz Flores,0.4019,0,10,0
02/03/21,Clara Luz Flores,0.4404,29,10,12.7716
02/03/21,Clara Luz Flores,0.4404,29,10,12.7716
02/03/21,Clara Luz Flores,0.4215,40,10,16.86
02/03/21,Clara Luz Flores,-0.1531,0,10,0
02/03/21,Clara Luz Flores,0,3,10,0
02/03/21,Clara Luz Flores,0.4215,40,10,16.86
02/03/21,Clara Luz Flores,0,0,10,0
02/03/21,Clara Luz Flores,0.9509,0,10,0
02/03/21,Clara Luz Flores,0.6488,1,10,0.6488
02/03/21,Clara Luz Flores,0.7003,40,10,28.012
02/03/21,Clara Luz Flores,0.4215,40,10,16.86
02/03/21,Clara Luz Flores,0.3818,10,10,3.818
03/03/21,Clara Luz Flores,0.9169,0,10,0
03/03/21,Clara Luz Flores,0.4404,29,10,12.7716
03/03/21,Clara Luz Flores,0.7003,40,10,28.012
03/03/21,Clara Luz Flores,0.4939,0,10,0
03/03/21,Clara Luz Flores,0.1531,5,10,0.7655
03/03/21,Clara Luz Flores,0.3818,0,10,0
03/03/21,Clara Luz Flores,0.5181,0,10,0
03/03/21,Clara Luz Flores,0.9136,0,10,0
03/03/21,Clara Luz Flores,0,5,10,0
03/03/21,Clara Luz Flores,-0.5267,0,10,0
03/03/21,Clara Luz Flores,-0.4939,90,10,-44.451
03/03/21,Clara Luz Flores,0.2023,21,10,4.2483
03/03/21,Clara Luz Flores,-0.5346,1,10,-0.5346
03/03/21,Clara Luz Flores,0.4404,29,10,12.7716
03/03/21,Clara Luz Flores,0.3818,8,10,3.0544
03/03/21,Clara Luz Flores,0.1027,11,10,1.1297
03/03/21,Clara Luz Flores,-0.4767,0,10,0
03/03/21,Clara Luz Flores,0.2263,0,10,0
03/03/21,Clara Luz Flores,0.8555,45,10,38.4975
03/03/21,Clara Luz Flores,-0.296,1,10,-0.296
04/03/21,Clara Luz Flores,0,5,10,0
04/03/21,Clara Luz Flores,0,5,10,0
04/03/21,Clara Luz Flores,-0.2732,62,10,-16.9384
04/03/21,Clara Luz Flores,-0.2732,62,10,-16.9384
04/03/21,Clara Luz Flores,0,5,10,0
04/03/21,Clara Luz Flores,0.7269,30,10,21.807
04/03/21,Clara Luz Flores,0,0,10,0
04/03/21,Clara Luz Flores,0,0,10,0
