candidato,retweetTimesFear,retweetTotal,creacion,numSemana
Clara Luz Flores,3,6,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,6.5,26,01/03/21,10
Clara Luz Flores,0,4,01/03/21,10
Clara Luz Flores,0,4,01/03/21,10
Clara Luz Flores,0,18,01/03/21,10
Clara Luz Flores,0,2,01/03/21,10
Clara Luz Flores,0,1,01/03/21,10
Clara Luz Flores,0,1,01/03/21,10
Clara Luz Flores,6.5,26,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,0.272727273,3,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,43.53333355,653,01/03/21,10
Clara Luz Flores,0,76,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,1,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,0,2,01/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,1,02/03/21,10
Clara Luz Flores,0,1,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,309,02/03/21,10
Clara Luz Flores,0,40,02/03/21,10
Clara Luz Flores,0,40,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,14.4,72,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,29,02/03/21,10
Clara Luz Flores,0,29,02/03/21,10
Clara Luz Flores,0,40,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,3,02/03/21,10
Clara Luz Flores,0,40,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0.047619048,1,02/03/21,10
Clara Luz Flores,0,40,02/03/21,10
Clara Luz Flores,0,40,02/03/21,10
Clara Luz Flores,0,10,02/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,29,03/03/21,10
Clara Luz Flores,0,40,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0.555555555,5,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,5,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,6.92307693,90,03/03/21,10
Clara Luz Flores,0,21,03/03/21,10
Clara Luz Flores,0,1,03/03/21,10
Clara Luz Flores,0,29,03/03/21,10
Clara Luz Flores,0,8,03/03/21,10
Clara Luz Flores,1.833333337,11,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,45,03/03/21,10
Clara Luz Flores,0,1,03/03/21,10
Clara Luz Flores,0.25,5,04/03/21,10
Clara Luz Flores,0,5,04/03/21,10
Clara Luz Flores,0,62,04/03/21,10
Clara Luz Flores,0,62,04/03/21,10
Clara Luz Flores,0,5,04/03/21,10
Clara Luz Flores,0,30,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,41,04/03/21,10
Clara Luz Flores,0,2,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,41,04/03/21,10
Clara Luz Flores,1.714285716,6,04/03/21,10
Clara Luz Flores,0,30,04/03/21,10
Clara Luz Flores,0,41,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,86.27272736,949,04/03/21,10
Clara Luz Flores,0,10,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,6,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,12.875,103,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,12.875,103,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,6.8,68,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,7.14285715,25,04/03/21,10
Clara Luz Flores,0,224,04/03/21,10
Clara Luz Flores,12.875,103,04/03/21,10
Clara Luz Flores,24.00000005,144,04/03/21,10
Clara Luz Flores,24.00000005,144,04/03/21,10
Clara Luz Flores,24.00000005,144,04/03/21,10
Clara Luz Flores,0,159,04/03/21,10
Clara Luz Flores,24.00000005,144,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,159,04/03/21,10
Clara Luz Flores,0,1,04/03/21,10
Clara Luz Flores,0,1,04/03/21,10
Clara Luz Flores,0,159,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,24.00000005,144,04/03/21,10
Clara Luz Flores,0,216,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,24.88888886,224,04/03/21,10
Clara Luz Flores,1.076923078,14,04/03/21,10
Clara Luz Flores,0,21,04/03/21,10
Clara Luz Flores,0.625,5,04/03/21,10
Clara Luz Flores,0,216,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,0,7,04/03/21,10
Clara Luz Flores,0,49,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,1,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,106,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,364,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,0,32,04/03/21,10
Clara Luz Flores,0,224,04/03/21,10
Clara Luz Flores,24.00000005,144,04/03/21,10
Clara Luz Flores,0,84,04/03/21,10
Clara Luz Flores,0,312,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,94.9,949,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,0,216,04/03/21,10
Clara Luz Flores,0,107,04/03/21,10
Clara Luz Flores,0,3263,04/03/21,10
Clara Luz Flores,0,364,05/03/21,10
Clara Luz Flores,94.9,949,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0.5,2,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,2.7,27,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,94.9,949,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,107,05/03/21,10
Clara Luz Flores,0,107,05/03/21,10
Clara Luz Flores,0,4,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,216,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,93,05/03/21,10
Clara Luz Flores,0.857142858,6,05/03/21,10
Clara Luz Flores,94.9,949,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,94.9,949,05/03/21,10
Clara Luz Flores,0,224,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,32,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,94.9,949,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,12.06666673,181,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,6,05/03/21,10
Clara Luz Flores,0,202,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,6.8,68,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0.333333334,2,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,94.9,949,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,4.000000004,28,05/03/21,10
Clara Luz Flores,29.5,236,05/03/21,10
Clara Luz Flores,0,31,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,364,05/03/21,10
Clara Luz Flores,94.9,949,05/03/21,10
Clara Luz Flores,0,6,05/03/21,10
Clara Luz Flores,29.5,236,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,47,05/03/21,10
Clara Luz Flores,0,364,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,29,05/03/21,10
Clara Luz Flores,0.454545455,5,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,109,05/03/21,10
Clara Luz Flores,0,47,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,33,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,23,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,94.9,949,05/03/21,10
Clara Luz Flores,0,45,05/03/21,10
Clara Luz Flores,22.1,221,05/03/21,10
Clara Luz Flores,0,1146,05/03/21,10
Clara Luz Flores,0.25,2,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,7,05/03/21,10
Clara Luz Flores,2.25,18,05/03/21,10
Clara Luz Flores,0,103,05/03/21,10
Clara Luz Flores,0,2,05/03/21,10
Clara Luz Flores,22.1,221,05/03/21,10
Clara Luz Flores,0,1,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,112,05/03/21,10
Clara Luz Flores,0,159,05/03/21,10
Clara Luz Flores,0,150,05/03/21,10
Clara Luz Flores,4.000000004,28,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,29,05/03/21,10
Clara Luz Flores,0,103,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,12.06666673,181,05/03/21,10
Clara Luz Flores,0,98,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,150,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,2,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,47,05/03/21,10
Clara Luz Flores,0,4,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,29.5,236,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,6,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,103,05/03/21,10
Clara Luz Flores,0.5,4,05/03/21,10
Clara Luz Flores,0,2,05/03/21,10
Clara Luz Flores,8.600000043,129,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,1,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,157,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,14.99999999,135,05/03/21,10
Clara Luz Flores,8.600000043,129,05/03/21,10
Clara Luz Flores,8.600000043,129,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,580,05/03/21,10
Clara Luz Flores,29.5,236,05/03/21,10
Clara Luz Flores,0,145,05/03/21,10
Clara Luz Flores,0,1146,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
