candidato,retweetTimesNegativity,retweetTotal,creacion,numSemana
Clara Luz Flores,2.538,6,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,26,01/03/21,10
Clara Luz Flores,0.204,4,01/03/21,10
Clara Luz Flores,0,4,01/03/21,10
Clara Luz Flores,0,18,01/03/21,10
Clara Luz Flores,0.194,2,01/03/21,10
Clara Luz Flores,0.045,1,01/03/21,10
Clara Luz Flores,0,1,01/03/21,10
Clara Luz Flores,0,26,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,0.876,3,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,47.016,653,01/03/21,10
Clara Luz Flores,10.032,76,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,1,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,0,2,01/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0.349,1,02/03/21,10
Clara Luz Flores,0,1,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,309,02/03/21,10
Clara Luz Flores,0,40,02/03/21,10
Clara Luz Flores,0,40,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,72,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,29,02/03/21,10
Clara Luz Flores,0,29,02/03/21,10
Clara Luz Flores,0,40,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,3,02/03/21,10
Clara Luz Flores,0,40,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0.042,1,02/03/21,10
Clara Luz Flores,0,40,02/03/21,10
Clara Luz Flores,0,40,02/03/21,10
Clara Luz Flores,0,10,02/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,29,03/03/21,10
Clara Luz Flores,0,40,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0.64,5,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,5,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,17.82,90,03/03/21,10
Clara Luz Flores,0,21,03/03/21,10
Clara Luz Flores,0.116,1,03/03/21,10
Clara Luz Flores,0,29,03/03/21,10
Clara Luz Flores,0,8,03/03/21,10
Clara Luz Flores,1.727,11,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,45,03/03/21,10
Clara Luz Flores,0.196,1,03/03/21,10
Clara Luz Flores,0,5,04/03/21,10
Clara Luz Flores,0,5,04/03/21,10
Clara Luz Flores,12.338,62,04/03/21,10
Clara Luz Flores,12.338,62,04/03/21,10
Clara Luz Flores,0,5,04/03/21,10
Clara Luz Flores,0,30,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,41,04/03/21,10
Clara Luz Flores,0,2,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,41,04/03/21,10
Clara Luz Flores,0,6,04/03/21,10
Clara Luz Flores,0,30,04/03/21,10
Clara Luz Flores,0,41,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,129.064,949,04/03/21,10
Clara Luz Flores,0,10,04/03/21,10
Clara Luz Flores,145.197,949,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,145.197,949,04/03/21,10
Clara Luz Flores,0,6,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
