candidato,retweetTimesPositivity,retweetTotal,creacion,numSemana
Clara Luz Flores,0,6,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,5.564,26,01/03/21,10
Clara Luz Flores,1.184,4,01/03/21,10
Clara Luz Flores,0,4,01/03/21,10
Clara Luz Flores,3.384,18,01/03/21,10
Clara Luz Flores,0,2,01/03/21,10
Clara Luz Flores,0.062,1,01/03/21,10
Clara Luz Flores,0.075,1,01/03/21,10
Clara Luz Flores,5.564,26,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,0,3,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,61.382,653,01/03/21,10
Clara Luz Flores,4.788,76,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,1,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,0.174,2,01/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0.334,1,02/03/21,10
Clara Luz Flores,0.231,1,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,45.423,309,02/03/21,10
Clara Luz Flores,8.96,40,02/03/21,10
Clara Luz Flores,8.96,40,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,72,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,3.016,29,02/03/21,10
Clara Luz Flores,4.234,29,02/03/21,10
Clara Luz Flores,4.16,40,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,3,02/03/21,10
Clara Luz Flores,4.16,40,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0.129,1,02/03/21,10
Clara Luz Flores,10.64,40,02/03/21,10
Clara Luz Flores,4.16,40,02/03/21,10
Clara Luz Flores,1.57,10,02/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,4.234,29,03/03/21,10
Clara Luz Flores,10.64,40,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0.835,5,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,5,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,90,03/03/21,10
Clara Luz Flores,1.911,21,03/03/21,10
Clara Luz Flores,0.044,1,03/03/21,10
Clara Luz Flores,4.234,29,03/03/21,10
Clara Luz Flores,1.424,8,03/03/21,10
Clara Luz Flores,1.991,11,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,18.54,45,03/03/21,10
Clara Luz Flores,0,1,03/03/21,10
Clara Luz Flores,0,5,04/03/21,10
Clara Luz Flores,0,5,04/03/21,10
Clara Luz Flores,8.556,62,04/03/21,10
Clara Luz Flores,8.556,62,04/03/21,10
Clara Luz Flores,0,5,04/03/21,10
Clara Luz Flores,8.28,30,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,10.824,41,04/03/21,10
Clara Luz Flores,0,2,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,10.824,41,04/03/21,10
Clara Luz Flores,0,6,04/03/21,10
Clara Luz Flores,8.28,30,04/03/21,10
Clara Luz Flores,10.824,41,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,55.042,949,04/03/21,10
Clara Luz Flores,0,10,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,0,6,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,80.62,580,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,80.62,580,04/03/21,10
Clara Luz Flores,0,103,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,0,103,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,80.62,580,04/03/21,10
Clara Luz Flores,23.46,68,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,3.5,25,04/03/21,10
Clara Luz Flores,48.832,224,04/03/21,10
Clara Luz Flores,0,103,04/03/21,10
Clara Luz Flores,0,144,04/03/21,10
Clara Luz Flores,0,144,04/03/21,10
Clara Luz Flores,0,144,04/03/21,10
Clara Luz Flores,0,159,04/03/21,10
Clara Luz Flores,0,144,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,0,159,04/03/21,10
Clara Luz Flores,0.583,1,04/03/21,10
Clara Luz Flores,0.583,1,04/03/21,10
Clara Luz Flores,0,159,04/03/21,10
Clara Luz Flores,80.62,580,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,144,04/03/21,10
Clara Luz Flores,0,216,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,24.64,224,04/03/21,10
Clara Luz Flores,0,14,04/03/21,10
Clara Luz Flores,0,21,04/03/21,10
Clara Luz Flores,0,5,04/03/21,10
Clara Luz Flores,0,216,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,80.62,580,04/03/21,10
Clara Luz Flores,80.62,580,04/03/21,10
Clara Luz Flores,2.506,7,04/03/21,10
Clara Luz Flores,12.593,49,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,0.139,1,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,17.914,106,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,0,364,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,80.62,580,04/03/21,10
Clara Luz Flores,3.872,32,04/03/21,10
Clara Luz Flores,48.832,224,04/03/21,10
Clara Luz Flores,0,144,04/03/21,10
Clara Luz Flores,0,84,04/03/21,10
Clara Luz Flores,0,312,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,96.798,949,04/03/21,10
Clara Luz Flores,80.62,580,04/03/21,10
Clara Luz Flores,0,216,04/03/21,10
Clara Luz Flores,25.038,107,04/03/21,10
Clara Luz Flores,0,3263,04/03/21,10
Clara Luz Flores,0,364,05/03/21,10
Clara Luz Flores,96.798,949,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0.254,2,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,1.647,27,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,96.798,949,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,25.038,107,05/03/21,10
Clara Luz Flores,25.038,107,05/03/21,10
Clara Luz Flores,0.48,4,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,216,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,18.786,93,05/03/21,10
Clara Luz Flores,1.17,6,05/03/21,10
Clara Luz Flores,96.798,949,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,96.798,949,05/03/21,10
Clara Luz Flores,48.832,224,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,3.872,32,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,96.798,949,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,26.245,181,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,6,05/03/21,10
Clara Luz Flores,0,202,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,23.46,68,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0.252,2,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,96.798,949,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,28,05/03/21,10
Clara Luz Flores,25.016,236,05/03/21,10
Clara Luz Flores,0,31,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,364,05/03/21,10
Clara Luz Flores,96.798,949,05/03/21,10
Clara Luz Flores,0,6,05/03/21,10
Clara Luz Flores,25.016,236,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,47,05/03/21,10
Clara Luz Flores,0,364,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,29,05/03/21,10
Clara Luz Flores,0.86,5,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,12.535,109,05/03/21,10
Clara Luz Flores,0,47,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,33,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,23,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,96.798,949,05/03/21,10
Clara Luz Flores,0,45,05/03/21,10
Clara Luz Flores,0,221,05/03/21,10
Clara Luz Flores,147.834,1146,05/03/21,10
Clara Luz Flores,0,2,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,3263,05/03/21,10
Clara Luz Flores,0,7,05/03/21,10
Clara Luz Flores,0,18,05/03/21,10
Clara Luz Flores,0,103,05/03/21,10
Clara Luz Flores,0,2,05/03/21,10
Clara Luz Flores,0,221,05/03/21,10
Clara Luz Flores,0,1,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,14.112,112,05/03/21,10
Clara Luz Flores,0,159,05/03/21,10
Clara Luz Flores,74.25,150,05/03/21,10
Clara Luz Flores,0,28,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,29,05/03/21,10
Clara Luz Flores,0,103,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,26.245,181,05/03/21,10
Clara Luz Flores,34.594,98,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,74.25,150,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0.13,2,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,47,05/03/21,10
Clara Luz Flores,0,4,05/03/21,10
Clara Luz Flores,0,312,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,25.016,236,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,1.17,6,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,103,05/03/21,10
Clara Luz Flores,0.824,4,05/03/21,10
Clara Luz Flores,0,2,05/03/21,10
Clara Luz Flores,0,129,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0.365,1,05/03/21,10
