candidato,retweetTimesTrust,retweetTotal,creacion,numSemana
Clara Luz Flores,0,6,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,26,01/03/21,10
Clara Luz Flores,0.444444444,4,01/03/21,10
Clara Luz Flores,0,4,01/03/21,10
Clara Luz Flores,7.2,18,01/03/21,10
Clara Luz Flores,0,2,01/03/21,10
Clara Luz Flores,0,1,01/03/21,10
Clara Luz Flores,0.058823529,1,01/03/21,10
Clara Luz Flores,0,26,01/03/21,10
Clara Luz Flores,7.125,19,01/03/21,10
Clara Luz Flores,0,3,01/03/21,10
Clara Luz Flores,7.125,19,01/03/21,10
Clara Luz Flores,0,653,01/03/21,10
Clara Luz Flores,7.6,76,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0.5,1,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,0,01/03/21,10
Clara Luz Flores,0,19,01/03/21,10
Clara Luz Flores,0.166666666,2,01/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,1,02/03/21,10
Clara Luz Flores,0.25,1,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,34.3333333,309,02/03/21,10
Clara Luz Flores,3.33333332,40,02/03/21,10
Clara Luz Flores,3.33333332,40,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,14.4,72,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,2.071428559,29,02/03/21,10
Clara Luz Flores,3.625,29,02/03/21,10
Clara Luz Flores,3.63636364,40,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0.642857142,3,02/03/21,10
Clara Luz Flores,3.63636364,40,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0,0,02/03/21,10
Clara Luz Flores,0.047619048,1,02/03/21,10
Clara Luz Flores,5.71428572,40,02/03/21,10
Clara Luz Flores,3.63636364,40,02/03/21,10
Clara Luz Flores,0,10,02/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,3.625,29,03/03/21,10
Clara Luz Flores,5.71428572,40,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,5,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0.27777778,5,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,90,03/03/21,10
Clara Luz Flores,2.1,21,03/03/21,10
Clara Luz Flores,0.086956522,1,03/03/21,10
Clara Luz Flores,3.625,29,03/03/21,10
Clara Luz Flores,1.333333336,8,03/03/21,10
Clara Luz Flores,0,11,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,0,0,03/03/21,10
Clara Luz Flores,8.18181819,45,03/03/21,10
Clara Luz Flores,0,1,03/03/21,10
Clara Luz Flores,0.25,5,04/03/21,10
Clara Luz Flores,0.625,5,04/03/21,10
Clara Luz Flores,0,62,04/03/21,10
Clara Luz Flores,0,62,04/03/21,10
Clara Luz Flores,0.625,5,04/03/21,10
Clara Luz Flores,3.75,30,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,5.857142863,41,04/03/21,10
Clara Luz Flores,0.375,2,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,5.857142863,41,04/03/21,10
Clara Luz Flores,0,6,04/03/21,10
Clara Luz Flores,3.75,30,04/03/21,10
Clara Luz Flores,5.857142863,41,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,86.27272736,949,04/03/21,10
Clara Luz Flores,0.90909091,10,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0.75,6,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,12.875,103,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,12.875,103,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,6.8,68,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,7.14285715,25,04/03/21,10
Clara Luz Flores,0,224,04/03/21,10
Clara Luz Flores,12.875,103,04/03/21,10
Clara Luz Flores,0,144,04/03/21,10
Clara Luz Flores,0,144,04/03/21,10
Clara Luz Flores,0,144,04/03/21,10
Clara Luz Flores,0,159,04/03/21,10
Clara Luz Flores,0,144,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,159,04/03/21,10
Clara Luz Flores,1,1,04/03/21,10
Clara Luz Flores,1,1,04/03/21,10
Clara Luz Flores,0,159,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,144,04/03/21,10
Clara Luz Flores,36.00000007,216,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,224,04/03/21,10
Clara Luz Flores,0,14,04/03/21,10
Clara Luz Flores,0,21,04/03/21,10
Clara Luz Flores,0,5,04/03/21,10
Clara Luz Flores,36.00000007,216,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,0.777777777,7,04/03/21,10
Clara Luz Flores,4.083333317,49,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,1,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,106,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,33.09090912,364,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,5.333333344,32,04/03/21,10
Clara Luz Flores,0,224,04/03/21,10
Clara Luz Flores,0,144,04/03/21,10
Clara Luz Flores,0,84,04/03/21,10
Clara Luz Flores,28.36363639,312,04/03/21,10
Clara Luz Flores,0,0,04/03/21,10
Clara Luz Flores,0,949,04/03/21,10
Clara Luz Flores,0,580,04/03/21,10
Clara Luz Flores,36.00000007,216,04/03/21,10
Clara Luz Flores,13.375,107,04/03/21,10
Clara Luz Flores,652.6,3263,04/03/21,10
Clara Luz Flores,33.09090912,364,05/03/21,10
Clara Luz Flores,0,949,05/03/21,10
Clara Luz Flores,28.36363639,312,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0.25,2,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,27,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,28.36363639,312,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,28.36363639,312,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,949,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,13.375,107,05/03/21,10
Clara Luz Flores,13.375,107,05/03/21,10
Clara Luz Flores,0.333333332,4,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,36.00000007,216,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,7.153846161,93,05/03/21,10
Clara Luz Flores,1.714285716,6,05/03/21,10
Clara Luz Flores,0,949,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,949,05/03/21,10
Clara Luz Flores,0,224,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,5.333333344,32,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,949,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,181,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0.666666666,6,05/03/21,10
Clara Luz Flores,0,202,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,6.8,68,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,28.36363639,312,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0.333333334,2,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,949,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,28.36363639,312,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,28.36363639,312,05/03/21,10
Clara Luz Flores,0,28,05/03/21,10
Clara Luz Flores,29.5,236,05/03/21,10
Clara Luz Flores,0,31,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,33.09090912,364,05/03/21,10
Clara Luz Flores,0,949,05/03/21,10
Clara Luz Flores,0.666666666,6,05/03/21,10
Clara Luz Flores,29.5,236,05/03/21,10
Clara Luz Flores,28.36363639,312,05/03/21,10
Clara Luz Flores,13.42857144,47,05/03/21,10
Clara Luz Flores,33.09090912,364,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,29,05/03/21,10
Clara Luz Flores,0.454545455,5,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,9.083333297,109,05/03/21,10
Clara Luz Flores,13.42857144,47,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,4.125,33,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,2.875,23,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,949,05/03/21,10
Clara Luz Flores,0,45,05/03/21,10
Clara Luz Flores,0,221,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,0,2,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,28.36363639,312,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,1.000000001,7,05/03/21,10
Clara Luz Flores,2.25,18,05/03/21,10
Clara Luz Flores,11.44444443,103,05/03/21,10
Clara Luz Flores,0,2,05/03/21,10
Clara Luz Flores,0,221,05/03/21,10
Clara Luz Flores,0.166666667,1,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,24.88888886,112,05/03/21,10
Clara Luz Flores,0,159,05/03/21,10
Clara Luz Flores,45,150,05/03/21,10
Clara Luz Flores,0,28,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,2.416666657,29,05/03/21,10
Clara Luz Flores,11.44444443,103,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,181,05/03/21,10
Clara Luz Flores,19.6,98,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,45,150,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0.333333334,2,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,13.42857144,47,05/03/21,10
Clara Luz Flores,0.444444444,4,05/03/21,10
Clara Luz Flores,28.36363639,312,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,29.5,236,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
