creacion,candidato,compound,retweet_count,numSemana,compoundRT
01/03/21,Fernando Larrazabal,0,24,10,0
01/03/21,Fernando Larrazabal,0,19,10,0
01/03/21,Fernando Larrazabal,-0.7351,3,10,-2.2053
01/03/21,Fernando Larrazabal,0,19,10,0
01/03/21,Fernando Larrazabal,-0.6671,73,10,-48.6983
01/03/21,Fernando Larrazabal,0.7096,93,10,65.9928
01/03/21,Fernando Larrazabal,0,20,10,0
01/03/21,Fernando Larrazabal,-0.6671,73,10,-48.6983
01/03/21,Fernando Larrazabal,0.6407,0,10,0
01/03/21,Fernando Larrazabal,0.6361,42,10,26.7162
01/03/21,Fernando Larrazabal,0,20,10,0
01/03/21,Fernando Larrazabal,0.25,2,10,0.5
02/03/21,Fernando Larrazabal,0.6454,0,10,0
02/03/21,Fernando Larrazabal,0.3919,45,10,17.6355
02/03/21,Fernando Larrazabal,0.8294,1,10,0.8294
02/03/21,Fernando Larrazabal,-0.6671,73,10,-48.6983
02/03/21,Fernando Larrazabal,-0.4041,0,10,0
02/03/21,Fernando Larrazabal,-0.1531,0,10,0
02/03/21,Fernando Larrazabal,0.8689,50,10,43.445
02/03/21,Fernando Larrazabal,0,3,10,0
02/03/21,Fernando Larrazabal,0.3612,3,10,1.0836
02/03/21,Fernando Larrazabal,0.6249,21,10,13.1229
02/03/21,Fernando Larrazabal,0.3612,3,10,1.0836
03/03/21,Fernando Larrazabal,0.0458,1,10,0.0458
03/03/21,Fernando Larrazabal,0.25,0,10,0
03/03/21,Fernando Larrazabal,0.25,0,10,0
03/03/21,Fernando Larrazabal,-0.7749,41,10,-31.7709
03/03/21,Fernando Larrazabal,0.1027,102,10,10.4754
03/03/21,Fernando Larrazabal,-0.7783,5,10,-3.8915
03/03/21,Fernando Larrazabal,0.926,0,10,0
03/03/21,Fernando Larrazabal,-0.2732,0,10,0
03/03/21,Fernando Larrazabal,0.7717,0,10,0
03/03/21,Fernando Larrazabal,-0.1779,5,10,-0.8895
03/03/21,Fernando Larrazabal,-0.296,0,10,0
03/03/21,Fernando Larrazabal,0.296,9,10,2.664
03/03/21,Fernando Larrazabal,0.6461,0,10,0
03/03/21,Fernando Larrazabal,0,34,10,0
03/03/21,Fernando Larrazabal,-0.4939,1,10,-0.4939
03/03/21,Fernando Larrazabal,0,5,10,0
03/03/21,Fernando Larrazabal,-0.7749,41,10,-31.7709
03/03/21,Fernando Larrazabal,0.5106,1226,10,625.9956
03/03/21,Fernando Larrazabal,0.5106,1226,10,625.9956
03/03/21,Fernando Larrazabal,0.5106,1226,10,625.9956
