candidato,retweetTimesFear,retweetTotal,creacion,numSemana
Fernando Larrazabal,0,24,01/03/21,10
Fernando Larrazabal,0,19,01/03/21,10
Fernando Larrazabal,0.272727273,3,01/03/21,10
Fernando Larrazabal,0,19,01/03/21,10
Fernando Larrazabal,5.615384621,73,01/03/21,10
Fernando Larrazabal,0,93,01/03/21,10
Fernando Larrazabal,0,20,01/03/21,10
Fernando Larrazabal,5.615384621,73,01/03/21,10
Fernando Larrazabal,0,0,01/03/21,10
Fernando Larrazabal,0,42,01/03/21,10
Fernando Larrazabal,0,20,01/03/21,10
Fernando Larrazabal,0,2,01/03/21,10
Fernando Larrazabal,0,0,02/03/21,10
Fernando Larrazabal,0,45,02/03/21,10
Fernando Larrazabal,0,1,02/03/21,10
Fernando Larrazabal,5.615384621,73,02/03/21,10
Fernando Larrazabal,0,0,02/03/21,10
Fernando Larrazabal,0,0,02/03/21,10
Fernando Larrazabal,0,50,02/03/21,10
Fernando Larrazabal,0,3,02/03/21,10
Fernando Larrazabal,0,3,02/03/21,10
Fernando Larrazabal,0,21,02/03/21,10
Fernando Larrazabal,0,3,02/03/21,10
Fernando Larrazabal,0.083333333,1,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,3.416666653,41,03/03/21,10
Fernando Larrazabal,8.499999966,102,03/03/21,10
Fernando Larrazabal,0,5,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0.76923077,5,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,9,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,34,03/03/21,10
Fernando Larrazabal,0,1,03/03/21,10
Fernando Larrazabal,0,5,03/03/21,10
Fernando Larrazabal,3.416666653,41,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
