candidato,retweetTimesNegativity,retweetTotal,creacion,numSemana
Fernando Larrazabal,0,24,01/03/21,10
Fernando Larrazabal,0,19,01/03/21,10
Fernando Larrazabal,0.876,3,01/03/21,10
Fernando Larrazabal,0,19,01/03/21,10
Fernando Larrazabal,15.476,73,01/03/21,10
Fernando Larrazabal,0,93,01/03/21,10
Fernando Larrazabal,0,20,01/03/21,10
Fernando Larrazabal,15.476,73,01/03/21,10
Fernando Larrazabal,0,0,01/03/21,10
Fernando Larrazabal,2.772,42,01/03/21,10
Fernando Larrazabal,0,20,01/03/21,10
Fernando Larrazabal,0,2,01/03/21,10
Fernando Larrazabal,0,0,02/03/21,10
Fernando Larrazabal,0,45,02/03/21,10
Fernando Larrazabal,0,1,02/03/21,10
Fernando Larrazabal,15.476,73,02/03/21,10
Fernando Larrazabal,0,0,02/03/21,10
Fernando Larrazabal,0,0,02/03/21,10
Fernando Larrazabal,0,50,02/03/21,10
Fernando Larrazabal,0,3,02/03/21,10
Fernando Larrazabal,0,3,02/03/21,10
Fernando Larrazabal,0,21,02/03/21,10
Fernando Larrazabal,0,3,02/03/21,10
Fernando Larrazabal,0.169,1,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,12.341,41,03/03/21,10
Fernando Larrazabal,8.976,102,03/03/21,10
Fernando Larrazabal,1.51,5,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0.61,5,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,9,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,34,03/03/21,10
Fernando Larrazabal,0.158,1,03/03/21,10
Fernando Larrazabal,0,5,03/03/21,10
Fernando Larrazabal,12.341,41,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
Fernando Larrazabal,0,1226,03/03/21,10
