candidato,retweetTimesPositivity,retweetTotal,creacion,numSemana
Fernando Larrazabal,0,24,01/03/21,10
Fernando Larrazabal,0,19,01/03/21,10
Fernando Larrazabal,0,3,01/03/21,10
Fernando Larrazabal,0,19,01/03/21,10
Fernando Larrazabal,5.329,73,01/03/21,10
Fernando Larrazabal,23.994,93,01/03/21,10
Fernando Larrazabal,0,20,01/03/21,10
Fernando Larrazabal,5.329,73,01/03/21,10
Fernando Larrazabal,0,0,01/03/21,10
Fernando Larrazabal,8.61,42,01/03/21,10
Fernando Larrazabal,0,20,01/03/21,10
Fernando Larrazabal,0.174,2,01/03/21,10
Fernando Larrazabal,0,0,02/03/21,10
Fernando Larrazabal,5.265,45,02/03/21,10
Fernando Larrazabal,0.183,1,02/03/21,10
Fernando Larrazabal,5.329,73,02/03/21,10
Fernando Larrazabal,0,0,02/03/21,10
Fernando Larrazabal,0,0,02/03/21,10
Fernando Larrazabal,24.8,50,02/03/21,10
Fernando Larrazabal,0,3,02/03/21,10
Fernando Larrazabal,0.516,3,02/03/21,10
Fernando Larrazabal,4.074,21,02/03/21,10
Fernando Larrazabal,0.516,3,02/03/21,10
Fernando Larrazabal,0.172,1,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,41,03/03/21,10
Fernando Larrazabal,10.608,102,03/03/21,10
Fernando Larrazabal,0,5,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0.425,5,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,2.151,9,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,34,03/03/21,10
Fernando Larrazabal,0,1,03/03/21,10
Fernando Larrazabal,0,5,03/03/21,10
Fernando Larrazabal,0,41,03/03/21,10
Fernando Larrazabal,267.268,1226,03/03/21,10
Fernando Larrazabal,267.268,1226,03/03/21,10
Fernando Larrazabal,267.268,1226,03/03/21,10
Fernando Larrazabal,267.268,1226,03/03/21,10
Fernando Larrazabal,267.268,1226,03/03/21,10
Fernando Larrazabal,267.268,1226,03/03/21,10
Fernando Larrazabal,267.268,1226,03/03/21,10
Fernando Larrazabal,267.268,1226,03/03/21,10
Fernando Larrazabal,267.268,1226,03/03/21,10
Fernando Larrazabal,267.268,1226,03/03/21,10
Fernando Larrazabal,267.268,1226,03/03/21,10
