candidato,retweetTimesTrust,retweetTotal,creacion,numSemana
Fernando Larrazabal,0,24,01/03/21,10
Fernando Larrazabal,7.125,19,01/03/21,10
Fernando Larrazabal,0,3,01/03/21,10
Fernando Larrazabal,7.125,19,01/03/21,10
Fernando Larrazabal,0,73,01/03/21,10
Fernando Larrazabal,8.454545463,93,01/03/21,10
Fernando Larrazabal,0,20,01/03/21,10
Fernando Larrazabal,0,73,01/03/21,10
Fernando Larrazabal,0,0,01/03/21,10
Fernando Larrazabal,0,42,01/03/21,10
Fernando Larrazabal,0,20,01/03/21,10
Fernando Larrazabal,0.166666666,2,01/03/21,10
Fernando Larrazabal,0,0,02/03/21,10
Fernando Larrazabal,3.000000015,45,02/03/21,10
Fernando Larrazabal,0.041666667,1,02/03/21,10
Fernando Larrazabal,0,73,02/03/21,10
Fernando Larrazabal,0,0,02/03/21,10
Fernando Larrazabal,0,0,02/03/21,10
Fernando Larrazabal,12.5,50,02/03/21,10
Fernando Larrazabal,0.642857142,3,02/03/21,10
Fernando Larrazabal,0.375,3,02/03/21,10
Fernando Larrazabal,1.615384617,21,02/03/21,10
Fernando Larrazabal,0.375,3,02/03/21,10
Fernando Larrazabal,0.125,1,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,6.833333347,41,03/03/21,10
Fernando Larrazabal,0,102,03/03/21,10
Fernando Larrazabal,0,5,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,0.384615385,5,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,2.25,9,03/03/21,10
Fernando Larrazabal,0,0,03/03/21,10
Fernando Larrazabal,2.615384618,34,03/03/21,10
Fernando Larrazabal,0.083333333,1,03/03/21,10
Fernando Larrazabal,0,5,03/03/21,10
Fernando Larrazabal,6.833333347,41,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,0,1,03/03/21,10
Fernando Larrazabal,0.315789474,2,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,0.230769231,1,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,204.3333337,1226,03/03/21,10
Fernando Larrazabal,204.3333337,1226,04/03/21,10
Fernando Larrazabal,204.3333337,1226,04/03/21,10
Fernando Larrazabal,204.3333337,1226,04/03/21,10
Fernando Larrazabal,204.3333337,1226,04/03/21,10
Fernando Larrazabal,0,0,04/03/21,10
Fernando Larrazabal,204.3333337,1226,04/03/21,10
Fernando Larrazabal,204.3333337,1226,04/03/21,10
Fernando Larrazabal,204.3333337,1226,04/03/21,10
Fernando Larrazabal,204.3333337,1226,04/03/21,10
Fernando Larrazabal,11.36842106,54,04/03/21,10
Fernando Larrazabal,204.3333337,1226,04/03/21,10
Fernando Larrazabal,0,0,04/03/21,10
Fernando Larrazabal,33.81818185,186,04/03/21,10
Fernando Larrazabal,204.3333337,1226,04/03/21,10
Fernando Larrazabal,0.142857144,3,04/03/21,10
Fernando Larrazabal,0,0,04/03/21,10
Fernando Larrazabal,7.199999982,54,04/03/21,10
Fernando Larrazabal,7.199999982,54,04/03/21,10
Fernando Larrazabal,0.999999999,9,04/03/21,10
Fernando Larrazabal,7.199999982,54,04/03/21,10
Fernando Larrazabal,33.81818185,186,04/03/21,10
Fernando Larrazabal,1.777777776,16,04/03/21,10
Fernando Larrazabal,0,0,04/03/21,10
Fernando Larrazabal,0,0,04/03/21,10
Fernando Larrazabal,33.81818185,186,04/03/21,10
Fernando Larrazabal,0,0,04/03/21,10
Fernando Larrazabal,0,38,04/03/21,10
Fernando Larrazabal,204.3333337,1226,04/03/21,10
Fernando Larrazabal,204.3333337,1226,04/03/21,10
Fernando Larrazabal,33.81818185,186,04/03/21,10
Fernando Larrazabal,22.66666664,68,04/03/21,10
Fernando Larrazabal,33.81818185,186,05/03/21,10
Fernando Larrazabal,0.333333332,4,05/03/21,10
Fernando Larrazabal,0.666666666,6,05/03/21,10
Fernando Larrazabal,0.666666666,6,05/03/21,10
Fernando Larrazabal,13.42857144,47,05/03/21,10
Fernando Larrazabal,0,0,05/03/21,10
Fernando Larrazabal,1.384615386,18,05/03/21,10
Fernando Larrazabal,13.42857144,47,05/03/21,10
Fernando Larrazabal,0.181818182,1,05/03/21,10
Fernando Larrazabal,22.66666664,68,05/03/21,10
Fernando Larrazabal,0.03030303,1,05/03/21,10
Fernando Larrazabal,0,2,05/03/21,10
Fernando Larrazabal,0.166666667,1,05/03/21,10
Fernando Larrazabal,11.6923077,152,05/03/21,10
Fernando Larrazabal,0,2,05/03/21,10
Fernando Larrazabal,0,0,05/03/21,10
Fernando Larrazabal,11.6923077,152,05/03/21,10
Fernando Larrazabal,0,0,05/03/21,10
Fernando Larrazabal,0.8,4,05/03/21,10
Fernando Larrazabal,0.333333334,2,05/03/21,10
Fernando Larrazabal,13.42857144,47,05/03/21,10
Fernando Larrazabal,0,0,05/03/21,10
Fernando Larrazabal,0,0,05/03/21,10
Fernando Larrazabal,0,0,05/03/21,10
Fernando Larrazabal,0,93,05/03/21,10
Fernando Larrazabal,0,0,05/03/21,10
Fernando Larrazabal,11.6923077,152,05/03/21,10
Fernando Larrazabal,0,0,05/03/21,10
Fernando Larrazabal,0,0,05/03/21,10
Fernando Larrazabal,0,0,05/03/21,10
Fernando Larrazabal,0,0,05/03/21,10
Fernando Larrazabal,0,0,05/03/21,10
