creacion,candidato,compound,retweet_count,numSemana,compoundRT
01/03/21,Samuel Garcia,-0.128,1,10,-0.128
01/03/21,Samuel Garcia,-0.5574,0,10,0
01/03/21,Samuel Garcia,0.7003,351,10,245.8053
01/03/21,Samuel Garcia,-0.0609,1,10,-0.0609
01/03/21,Samuel Garcia,0,19,10,0
01/03/21,Samuel Garcia,-0.7351,3,10,-2.2053
01/03/21,Samuel Garcia,0,19,10,0
01/03/21,Samuel Garcia,0.4767,0,10,0
01/03/21,Samuel Garcia,0,91,10,0
01/03/21,Samuel Garcia,-0.7783,45,10,-35.0235
01/03/21,Samuel Garcia,-0.3453,2,10,-0.6906
01/03/21,Samuel Garcia,0,4,10,0
01/03/21,Samuel Garcia,0.5106,0,10,0
01/03/21,Samuel Garcia,-0.3182,8,10,-2.5456
02/03/21,Samuel Garcia,0.6454,0,10,0
02/03/21,Samuel Garcia,-0.0232,1,10,-0.0232
02/03/21,Samuel Garcia,0.5106,90,10,45.954
02/03/21,Samuel Garcia,0.5106,90,10,45.954
02/03/21,Samuel Garcia,-0.6249,5,10,-3.1245
02/03/21,Samuel Garcia,-0.6249,5,10,-3.1245
02/03/21,Samuel Garcia,0,3,10,0
02/03/21,Samuel Garcia,-0.4041,0,10,0
02/03/21,Samuel Garcia,-0.7506,0,10,0
02/03/21,Samuel Garcia,0,5,10,0
02/03/21,Samuel Garcia,0,43,10,0
02/03/21,Samuel Garcia,0,9,10,0
02/03/21,Samuel Garcia,-0.2023,168,10,-33.9864
02/03/21,Samuel Garcia,-0.2023,168,10,-33.9864
02/03/21,Samuel Garcia,0,3,10,0
02/03/21,Samuel Garcia,-0.2023,168,10,-33.9864
02/03/21,Samuel Garcia,-0.2023,168,10,-33.9864
02/03/21,Samuel Garcia,0,43,10,0
02/03/21,Samuel Garcia,0.4404,1,10,0.4404
02/03/21,Samuel Garcia,0.6488,1,10,0.6488
03/03/21,Samuel Garcia,0.25,0,10,0
03/03/21,Samuel Garcia,0.25,0,10,0
03/03/21,Samuel Garcia,0.5423,0,10,0
03/03/21,Samuel Garcia,0,43,10,0
03/03/21,Samuel Garcia,0,0,10,0
03/03/21,Samuel Garcia,-0.296,0,10,0
03/03/21,Samuel Garcia,0.4019,13,10,5.2247
03/03/21,Samuel Garcia,0,0,10,0
