candidato,retweetTimesFear,retweetTotal,creacion,numSemana
Samuel Garcia,0,1,01/03/21,10
Samuel Garcia,0,0,01/03/21,10
Samuel Garcia,0,351,01/03/21,10
Samuel Garcia,0,1,01/03/21,10
Samuel Garcia,0,19,01/03/21,10
Samuel Garcia,0.272727273,3,01/03/21,10
Samuel Garcia,0,19,01/03/21,10
Samuel Garcia,0,0,01/03/21,10
Samuel Garcia,0,91,01/03/21,10
Samuel Garcia,6.428571435,45,01/03/21,10
Samuel Garcia,0,2,01/03/21,10
Samuel Garcia,0,4,01/03/21,10
Samuel Garcia,0,0,01/03/21,10
Samuel Garcia,0,8,01/03/21,10
Samuel Garcia,0,0,02/03/21,10
Samuel Garcia,0,1,02/03/21,10
Samuel Garcia,0,90,02/03/21,10
Samuel Garcia,0,90,02/03/21,10
Samuel Garcia,0,5,02/03/21,10
Samuel Garcia,0,5,02/03/21,10
Samuel Garcia,0,3,02/03/21,10
Samuel Garcia,0,0,02/03/21,10
Samuel Garcia,0,0,02/03/21,10
Samuel Garcia,0,5,02/03/21,10
Samuel Garcia,0,43,02/03/21,10
Samuel Garcia,0,9,02/03/21,10
Samuel Garcia,0,168,02/03/21,10
Samuel Garcia,0,168,02/03/21,10
Samuel Garcia,0,3,02/03/21,10
Samuel Garcia,0,168,02/03/21,10
Samuel Garcia,0,168,02/03/21,10
Samuel Garcia,0,43,02/03/21,10
Samuel Garcia,0,1,02/03/21,10
Samuel Garcia,0.047619048,1,02/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,43,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,13,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,9,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0.032258065,1,03/03/21,10
Samuel Garcia,0,2,03/03/21,10
Samuel Garcia,0.153846154,1,03/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,10.5,21,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,23,04/03/21,10
Samuel Garcia,0,2,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0.1,1,04/03/21,10
Samuel Garcia,0,3,04/03/21,10
Samuel Garcia,0,7,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,16,04/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,6,05/03/21,10
Samuel Garcia,0,6,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,2,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,11,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,18,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.333333333,3,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,2,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,6,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,152,05/03/21,10
Samuel Garcia,0,46,05/03/21,10
Samuel Garcia,0,2,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.111111111,1,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,152,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.142857143,1,05/03/21,10
Samuel Garcia,12.88888888,116,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,46,05/03/21,10
Samuel Garcia,0,216,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,152,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,35,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,216,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,12.88888888,116,05/03/21,10
Samuel Garcia,0,11,05/03/21,10
Samuel Garcia,0.263157895,5,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,152,05/03/21,10
Samuel Garcia,0,4,05/03/21,10
Samuel Garcia,0,137,05/03/21,10
Samuel Garcia,0,5,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.571428572,4,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,1.2,6,05/03/21,10
Samuel Garcia,4.25,34,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,5,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,77,05/03/21,10
Samuel Garcia,0.999999999,9,05/03/21,10
Samuel Garcia,0,21,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,137,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.08,2,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,24,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,21,05/03/21,10
Samuel Garcia,0,21,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,81,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,1.083333329,13,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,21,05/03/21,10
Samuel Garcia,0,0,06/03/21,10
Samuel Garcia,0.999999999,9,06/03/21,10
Samuel Garcia,0,0,06/03/21,10
Samuel Garcia,0,12,06/03/21,10
Samuel Garcia,0,4,06/03/21,10
Samuel Garcia,0,133,06/03/21,10
Samuel Garcia,0,81,06/03/21,10
Samuel Garcia,0,0,06/03/21,10
Samuel Garcia,0.428571426,6,06/03/21,10
Samuel Garcia,7.000000007,77,06/03/21,10
Samuel Garcia,0,0,06/03/21,10
Samuel Garcia,0,0,06/03/21,10
