candidato,retweetTimesNegativity,retweetTotal,creacion,numSemana
Samuel Garcia,0.112,1,01/03/21,10
Samuel Garcia,0,0,01/03/21,10
Samuel Garcia,0,351,01/03/21,10
Samuel Garcia,0.194,1,01/03/21,10
Samuel Garcia,0,19,01/03/21,10
Samuel Garcia,0.876,3,01/03/21,10
Samuel Garcia,0,19,01/03/21,10
Samuel Garcia,0,0,01/03/21,10
Samuel Garcia,0,91,01/03/21,10
Samuel Garcia,14.04,45,01/03/21,10
Samuel Garcia,0.67,2,01/03/21,10
Samuel Garcia,0,4,01/03/21,10
Samuel Garcia,0,0,01/03/21,10
Samuel Garcia,0.864,8,01/03/21,10
Samuel Garcia,0,0,02/03/21,10
Samuel Garcia,0.349,1,02/03/21,10
Samuel Garcia,0,90,02/03/21,10
Samuel Garcia,0,90,02/03/21,10
Samuel Garcia,1.275,5,02/03/21,10
Samuel Garcia,1.275,5,02/03/21,10
Samuel Garcia,0,3,02/03/21,10
Samuel Garcia,0,0,02/03/21,10
Samuel Garcia,0,0,02/03/21,10
Samuel Garcia,0,5,02/03/21,10
Samuel Garcia,0,43,02/03/21,10
Samuel Garcia,0,9,02/03/21,10
Samuel Garcia,13.944,168,02/03/21,10
Samuel Garcia,13.944,168,02/03/21,10
Samuel Garcia,0,3,02/03/21,10
Samuel Garcia,13.944,168,02/03/21,10
Samuel Garcia,13.944,168,02/03/21,10
Samuel Garcia,0,43,02/03/21,10
Samuel Garcia,0,1,02/03/21,10
Samuel Garcia,0.042,1,02/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,43,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,13,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,9,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0.068,1,03/03/21,10
Samuel Garcia,0.076,2,03/03/21,10
Samuel Garcia,0.142,1,03/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,21,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,5.451,23,04/03/21,10
Samuel Garcia,0,2,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,1,04/03/21,10
Samuel Garcia,0,3,04/03/21,10
Samuel Garcia,0,7,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,2.144,16,04/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,6,05/03/21,10
Samuel Garcia,0,6,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,2,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,11,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,3.834,18,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,3,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.136,2,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,6,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,152,05/03/21,10
Samuel Garcia,6.992,46,05/03/21,10
Samuel Garcia,0,2,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.087,1,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,152,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.193,1,05/03/21,10
Samuel Garcia,0,116,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,6.992,46,05/03/21,10
Samuel Garcia,0,216,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,152,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.069,1,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.284,1,05/03/21,10
Samuel Garcia,0,35,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,216,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,116,05/03/21,10
Samuel Garcia,1.375,11,05/03/21,10
Samuel Garcia,0.27,5,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.171,1,05/03/21,10
Samuel Garcia,0,152,05/03/21,10
Samuel Garcia,0,4,05/03/21,10
Samuel Garcia,0,137,05/03/21,10
Samuel Garcia,0,5,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,4,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,1.158,6,05/03/21,10
Samuel Garcia,3.23,34,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,5,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,77,05/03/21,10
Samuel Garcia,1.737,9,05/03/21,10
Samuel Garcia,4.221,21,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,137,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.402,2,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,2.832,24,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,21,05/03/21,10
Samuel Garcia,4.221,21,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,81,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,1.898,13,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,2.247,21,05/03/21,10
