candidato,retweetTimesPositivity,retweetTotal,creacion,numSemana
Samuel Garcia,0.094,1,01/03/21,10
Samuel Garcia,0,0,01/03/21,10
Samuel Garcia,78.975,351,01/03/21,10
Samuel Garcia,0.18,1,01/03/21,10
Samuel Garcia,0,19,01/03/21,10
Samuel Garcia,0,3,01/03/21,10
Samuel Garcia,0,19,01/03/21,10
Samuel Garcia,0,0,01/03/21,10
Samuel Garcia,0,91,01/03/21,10
Samuel Garcia,0,45,01/03/21,10
Samuel Garcia,0.406,2,01/03/21,10
Samuel Garcia,0,4,01/03/21,10
Samuel Garcia,0,0,01/03/21,10
Samuel Garcia,0,8,01/03/21,10
Samuel Garcia,0,0,02/03/21,10
Samuel Garcia,0.334,1,02/03/21,10
Samuel Garcia,11.7,90,02/03/21,10
Samuel Garcia,11.7,90,02/03/21,10
Samuel Garcia,0,5,02/03/21,10
Samuel Garcia,0,5,02/03/21,10
Samuel Garcia,0,3,02/03/21,10
Samuel Garcia,0,0,02/03/21,10
Samuel Garcia,0,0,02/03/21,10
Samuel Garcia,0,5,02/03/21,10
Samuel Garcia,0,43,02/03/21,10
Samuel Garcia,0,9,02/03/21,10
Samuel Garcia,8.568,168,02/03/21,10
Samuel Garcia,8.568,168,02/03/21,10
Samuel Garcia,0,3,02/03/21,10
Samuel Garcia,8.568,168,02/03/21,10
Samuel Garcia,8.568,168,02/03/21,10
Samuel Garcia,0,43,02/03/21,10
Samuel Garcia,0.139,1,02/03/21,10
Samuel Garcia,0.129,1,02/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,43,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,1.872,13,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,2.151,9,03/03/21,10
Samuel Garcia,0,0,03/03/21,10
Samuel Garcia,0.212,1,03/03/21,10
Samuel Garcia,0.244,2,03/03/21,10
Samuel Garcia,0.075,1,03/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,21,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,23,04/03/21,10
Samuel Garcia,0,2,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0.169,1,04/03/21,10
Samuel Garcia,0,3,04/03/21,10
Samuel Garcia,0,7,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,0,04/03/21,10
Samuel Garcia,0,16,04/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,6,05/03/21,10
Samuel Garcia,0,6,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,2,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,3.014,11,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,2.79,18,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.315,3,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.13,2,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,1.17,6,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,152,05/03/21,10
Samuel Garcia,0,46,05/03/21,10
Samuel Garcia,0.326,2,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.226,1,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,152,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.222,1,05/03/21,10
Samuel Garcia,8.236,116,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,46,05/03/21,10
Samuel Garcia,0,216,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,152,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0.292,1,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,35,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,216,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,8.236,116,05/03/21,10
Samuel Garcia,0,11,05/03/21,10
Samuel Garcia,0.22,5,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,1,05/03/21,10
Samuel Garcia,0,152,05/03/21,10
Samuel Garcia,2.368,4,05/03/21,10
Samuel Garcia,16.166,137,05/03/21,10
Samuel Garcia,0,5,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,4,05/03/21,10
Samuel Garcia,0.153,1,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,2.208,6,05/03/21,10
Samuel Garcia,0,34,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
Samuel Garcia,0,5,05/03/21,10
Samuel Garcia,0,47,05/03/21,10
Samuel Garcia,0,77,05/03/21,10
Samuel Garcia,0,9,05/03/21,10
Samuel Garcia,0,21,05/03/21,10
Samuel Garcia,0,0,05/03/21,10
